PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,15:04:12,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.14529,-3.314597,-1.0883,1973.439396,196.155453,12:30:00,6.31029,0.77544,5.38897,-14.80599,23.79745,6.51422,1.96583,0.29816,78.51107,-6.141732,0.069774,0.447182,-3.58689,13.30083,-0.68299,50,6.00403,2.08778,-124.78439,-7.6382,-5.63671,25.89162,-11.27201,549c9ecf-26cb-4fe2-b418-4d12eba6e9bc,NA,NA,NA,NA,NA,1000224691,"Rodriguez, Damian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ION_GAE,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,d932c580-f47c-11ef-9710-33435a4df146,84.28879,NA,NA,7.63422,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:04:12,2025-02-26T20:04:12Z,2025-02-26T20:04:12Z,NA,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.10768,-125.83972,12.94581,6.306,-7.17876,-5.636,-0.77277,2.31753,-2.81836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-26,15:04:27,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.85093,-4.529282,-3.081325,2013.602191,196.797947,12:30:00,6.24874,0.80206,5.63171,-13.62934,24.1482,6.90059,0.87213,-1.50058,79.27022,-7.144475,-1.851649,0.442373,-4.36433,13.90194,-0.54416,50,5.8536,6.46312,-125.531,-10.30563,-6.95097,25.85404,-10.03265,a83be327-8e18-4b9b-8a87-6d114b28e11d,NA,NA,NA,NA,NA,1000224691,"Rodriguez, Damian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ION_GAE,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,e25b48d0-f47c-11ef-9710-33435a4df146,85.20516,NA,NA,7.58071,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:04:27,2025-02-26T20:04:27Z,2025-02-26T20:04:27Z,NA,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,54.86494,-126.529,12.92702,6.24394,-9.91835,-5.01633,-0.79882,6.73143,-3.47549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-26,15:04:46,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Splitter,NA,NA,77.9322,-3.652526,-1.642808,1190.65644,233.046084,01:45:00,6.15258,0.78341,5.46145,-35.25982,12.27347,14.01469,-0.21049,0.41323,71.02641,-10.117635,0.85811,0.496215,-7.67532,7.83473,-0.64893,50,5.80656,2.70296,-112.7608,-8.30319,-9.74083,23.24016,-22.2309,9d0ce8c6-fce8-48b6-9ecc-cc7b5bd1a799,NA,NA,NA,NA,NA,1000224691,"Rodriguez, Damian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ION_GAE,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,ed742a70-f47c-11ef-9710-33435a4df146,75.95982,NA,NA,6.90579,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:04:46,2025-02-26T20:04:46Z,2025-02-26T20:04:46Z,NA,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.03661,-113.79412,11.62008,6.15377,-7.31475,-11.11545,-0.77874,3.13606,-4.87042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-26,15:05:09,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.41639,-3.039723,-2.74873,2070.68356,196.761848,12:30:00,6.15068,0.99148,5.57868,-12.49213,26.13387,7.42922,2.26482,-0.95853,77.67193,-5.501541,-1.425693,0.447313,-4.6611,14.6352,-0.75994,50,5.88123,5.68032,-124.95961,-6.9237,-7.245,29.16498,-9.42582,ecbe6afe-88d9-4c83-bb9d-563b7ab26e2c,NA,NA,NA,NA,153.931231,1000224691,"Rodriguez, Damian",3198.33618,NA,71.53092,Right,27.033065,-102.32159,26.08687,40.3757,172.32955,52.852290000000004,2.355442,161.421075,1.86407,2.30495,0.93702,NA,NA,NA,NA,NA,1,4,ION_GAE,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,fb31ed50-f47c-11ef-9710-33435a4df146,84.26415,27.451,NA,8.74446,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:05:09,2025-02-26T20:05:09Z,2025-02-26T20:05:09Z,FlyBall,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,54.91669,-126.10192,14.58249,6.14518,-6.55451,-4.71291,-0.98798,5.96409,-3.6225,300.506545,1.86405,-83.94104,6.56941,-0.2603,-0.22237,0.22544,-0.11238,0.03076,-0.00341,2.30494,47.68349,-25.08721,2.86061,-0.66762,0.19224,-0.06076,0.01343,-0.0013,0.93705,41.06637,-12.13892,3.0619,-0.88428,0.34175,-0.13105,0.02989,-0.00277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-02-26,15:05:30,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.76582,-2.447914,-2.11381,2080.296408,202.690012,12:45:00,6.19731,0.75811,5.45354,-20.66127,16.70611,6.53729,2.18104,-0.67679,80.32478,-6.277958,-0.950562,0.439965,-3.83831,9.37138,-0.57637,50,5.96715,4.37503,-125.95852,-6.07365,-6.24177,22.65602,-16.93447,7d957a3d-72a7-413c-a596-549a85b955e0,NA,NA,NA,NA,7.508875,1000224691,"Rodriguez, Damian",NA,NA,96.75743,Right,-8.633448,NA,NA,NA,19.35923,19.35923,0.125986,7.85655,1.98746,2.4968,0.50009,NA,NA,NA,NA,NA,1,5,ION_GAE,1,Top,0,2,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,0795ec90-f47d-11ef-9710-33435a4df146,85.67154,2.4968,NA,6.44103,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:05:30,2025-02-26T20:05:30Z,2025-02-26T20:05:30Z,GroundBall,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.04623,-126.86293,11.32801,6.19611,-5.39764,-8.46723,-0.75599,4.6242,-3.12089,162.82144,1.98776,139.06903,-20.87196,NA,NA,NA,NA,NA,NA,2.4961700000000002,-21.23623,11.33502,NA,NA,NA,NA,NA,NA,0.50037,18.30602,-10.12192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-02-26,15:06:01,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.35159,-2.92008,-2.019808,2159.702173,200.244267,12:45:00,6.3169,0.8742,5.37638,-17.93529,20.06178,6.97725,2.08074,-0.43865,79.62851,-6.27189,-0.780193,0.443656,-4.04236,11.19965,-0.69849000000000006,50,6.04277,4.12095,-125.24936,-6.96103,-6.47652,23.26107,-14.23032,b4b062ac-e7c9-4b3a-9563-8c3b95b672a7,NA,NA,NA,NA,-2.725572,1000397399,"Stephenson, Sean",NA,NA,63.49737,Right,-38.397902,NA,NA,NA,4.35242,4.35242,0.036338,4.06361,1.68227,2.10989,0.43502,NA,NA,NA,NA,NA,2,1,ION_GAE,1,Top,1,0,0,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,1a9b4f10-f47d-11ef-9710-33435a4df146,84.95869,2.10989,NA,6.72308,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:06:01,2025-02-26T20:06:01Z,2025-02-26T20:06:01Z,GroundBall,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.1227,-126.19716,11.63054,6.31459,-6.38121,-7.11516,-0.87178,4.38484,-3.23826,NA,1.68067,73.17905,NA,NA,NA,NA,NA,NA,NA,2.11116,-58.06232,NA,NA,NA,NA,NA,NA,NA,0.4351,-3.48377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
7,2025-02-26,15:06:36,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,86.22047,-1.817879,-1.469042,2145.221799,203.370616,12:45:00,6.25036,0.92814,5.48967,-17.13658,21.0408,8.56067,3.12058,0.26695,78.78813,-5.064932,0.055535,0.444707,-4.69079,11.45508,-0.8053,50,6.07972,2.83319,-125.06986,-4.47085,-7.4359,25.03812,-14.0153,8f5103d1-e03b-4d16-b3fb-82591b2b1f3b,NA,NA,NA,NA,171.698731,1000214496,"Kemp, James",1826.163964,NA,71.95156,Right,14.696305,NA,NA,NA,NA,59.04942,NA,NA,2.2796,3.10782,-0.28366,NA,NA,NA,NA,NA,3,1,ION_GAE,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,2f7104c0-f47d-11ef-9710-33435a4df146,84.75782,12.3364,NA,7.43234,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:06:36,2025-02-26T20:06:36Z,2025-02-26T20:06:36Z,NA,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.006100000000004,-126.06807,12.51906,6.24682,-3.91209,-7.00765,-0.92416,3.12964,-3.71795,195.776784,2.2796,-101.00658,51.52655,-9.77448,1.84364,0.57788,-1.24372,0.74717,-0.16328,3.10781,26.77237,-24.62135,8.6673,-2.39011,-0.11089,1.02729,-0.70573,0.16414,-0.28366,14.73762,-8.96538,3.27687,-0.81182,-0.17067,0.50907,-0.32833,0.07465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
8,2025-02-26,15:06:58,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Splitter,NA,NA,78.1341,-1.9217,-1.759223,1250.718163,240.824197,02:00:00,6.16678,0.74209,5.41793,-35.04022,11.80572,18.33218,1.4451,0.62131,71.53435,-8.360855,1.506386,0.492615,-9.75733,6.96863,-0.59907,50,5.97184,2.76432,-113.29598,-4.92007,-12.61768,21.68448,-23.16259,715d751d-8baf-4051-a751-03eb0d029ab3,NA,NA,NA,NA,NA,1000214496,"Kemp, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ION_GAE,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,3c4292e0-f47d-11ef-9710-33435a4df146,76.51507,NA,NA,6.59974,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:06:58,2025-02-26T20:06:58Z,2025-02-26T20:06:58Z,NA,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.08005,-114.26415,10.84224,6.16843,-3.8859,-11.58129,-0.73507,3.32767,-6.30884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-26,15:07:30,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Splitter,NA,NA,76.55199,1.735824,-1.385823,1132.975878,205.896133,12:45:00,6.28513,0.83286,5.34592,-34.70998,14.45875,6.19859,5.02181,0.04926,69.2575,-4.716101,-0.285536,0.50468,-3.5165,7.21138,-0.7126,50,6.41726,2.43809,-110.90076,2.29039,-4.33847,21.56615,-23.27707,08a09e17-6ae4-45a8-96a0-bf89220dd670,NA,NA,NA,NA,NA,1000214496,"Kemp, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,ION_GAE,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,4f5d5220-f47d-11ef-9710-33435a4df146,74.68587,NA,NA,7.29449,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:07:30,2025-02-26T20:07:30Z,2025-02-26T20:07:30Z,NA,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.14854,-111.89748,10.78308,6.28655,3.36619,-11.63853,-0.82991,2.63861,-2.16924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-26,15:07:49,"Rodarte, Jordan",10138918,Right,FOR_RAM,Undefined,Fastball,NA,NA,85.12196,-2.383024,-2.397385,2092.713181,206.740872,01:00:00,6.2702,1.0809,5.4623100000000004,-16.28489,23.31092,11.04245,2.67945,-0.24409,77.15761,-5.50106,-0.433464,0.452894,-6.26303,12.84694,-0.87747,50,6.04948,4.68443,-123.26437,-5.57957,-9.55948,26.31962,-12.56532,1feeccb4-01ac-409f-9cd9-58f81a996e5c,NA,NA,NA,NA,NA,1000214496,"Kemp, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,ION_GAE,1,Top,1,2,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FOR_RAM,ION_GAE,FordhamUniversity,D1,A10,20250226-FordhamUniversity-1,5a78cbd0-f47d-11ef-9710-33435a4df146,83.22582,NA,NA,7.96435,NA,NA,NA,43822649-4af0-416a-b9d4-29c82658e2da,2025-02-26,20:07:49,2025-02-26T20:07:49Z,2025-02-26T20:07:49Z,NA,v3,471298,471322,NA,"Young, Caden",10264258,Right,FOR_RAM,55.03333,-124.33445,13.15981,6.26595,-5.0687,-6.28266,-1.07582,5.07309,-4.77974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
