PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:06:31,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,92.3313,-2.88434,-2.810681,2252.451569,234.001103,01:45:00,5.73609,1.6879,5.99143,-21.10733,12.22182,15.09851,1.2985,0.33911,83.1074,-6.86798,-0.096938,0.415512,-8.67989,7.59599,-1.47435,50,5.49673,5.8989,-133.6351,-7.4215,-15.40512,33.78094,-18.69267,ff3c009a-49d0-47a4-865a-ccbffe7932e5,NA,NA,NA,NA,NA,1000303602,"Figueroa, Tyler",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,APP_MOU,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,0affed00-fb98-11ef-b408-8f27120e2181,90.71328,NA,NA,9.2239,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:06:31,2025-03-07T21:06:31Z,2025-03-07T21:06:31Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.50774,-134.76977,16.89047,5.73547,-6.79363,-9.34633,-1.68118,6.41635,-7.70256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,16:06:42,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,92.37648,-1.086137,-2.11499,2256.72446,238.232569,02:00:00,5.82571,1.59003,5.69228,-20.67718,13.12737,19.05517,3.08951,1.20588,82.42964,-5.004658,1.291611,0.418465,-10.40213,7.41725,-1.42426,50,5.7218,4.06357,-133.75133,-3.22554,-18.36368,35.69112,-19.07979,6b9af986-a2c5-4aef-8a23-abc76f8b05eb,NA,NA,NA,NA,122.805748,1000303602,"Figueroa, Tyler",4438.663399,NA,55.62097,Right,22.859061,NA,NA,NA,114.11487,36.84128,2.083634,132.846612,0.51595,3.06094,-1.2679,NA,NA,NA,NA,NA,1,2,APP_MOU,1,Top,0,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,11884a00-fb98-11ef-b408-8f27120e2181,90.07313,17.05415,NA,9.94684,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:06:42,2025-03-07T21:06:42Z,2025-03-07T21:06:42Z,GroundBall,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.80606,-135.02772,17.84556,5.82496,-2.54321,-9.5399,-1.58133,4.72029,-9.18184,NA,0.51598,-40.72822,0.33498,0.85887,-0.24564,0.15926,-0.09831,0.03131,-0.00393,3.06094,31.69091,-20.00068,2.69366,-0.71215,0.4305,-0.21673,0.05798,-0.00635,-1.2681,63.19534,-12.24983,1.26436,-0.73148,0.26328,0.05735,-0.05801,0.01025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-03-07,16:07:25,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,93.81091,-1.735505,-2.525235,2284.521312,237.885636,02:00:00,5.79334,1.584,5.90688,-21.46958,10.94642,15.47131,2.39115,0.52767,84.1072,-5.788713,0.251358,0.40978,-8.80993,6.54748,-1.39004,50,5.64171,5.30082,-135.87139,-4.84292,-16.11006,35.81989,-20.20119,e695e2c4-8df8-4b26-b487-6ad081e14ae9,NA,NA,NA,NA,-21.78537,1000303602,"Figueroa, Tyler",NA,NA,85.77215,Right,-21.841233,NA,NA,NA,7.61409,7.55144,0.04886,-20.852557,1.80616,2.29163,-0.58839,NA,NA,NA,NA,NA,1,3,APP_MOU,1,Top,0,0,2,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,2b39e530-fb98-11ef-b408-8f27120e2181,91.98204,2.29163,NA,9.70371,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:07:25,2025-03-07T21:07:25Z,2025-03-07T21:07:25Z,GroundBall,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.59271,-137.07683,17.90995,5.79325,-4.1631,-10.1006,-1.57755,5.84297,-8.05503,180,1.80433,108.66226,NA,NA,NA,NA,NA,NA,NA,2.29242,-46.90227,NA,NA,NA,NA,NA,NA,NA,-0.58765,-43.42962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-03-07,16:07:50,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,92.94294,-1.133024,-2.073864,2267.305479,235.210482,01:45:00,5.83717,1.90954,5.6517,-21.35726,12.30009,15.70883,2.99978,1.28344,82.4418,-5.180149,0.732408,0.417553,-8.6154,7.02839,-1.74337,50,5.72796,4.11255,-134.41891,-3.38526,-15.27846,37.47506,-19.70996,2a029932-41fa-476a-883d-9599d542c7c1,NA,NA,NA,NA,NA,1000066707,"Kramer, John",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,APP_MOU,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,39fedee0-fb98-11ef-b408-8f27120e2181,90.2699,NA,NA,10.50114,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:07:50,2025-03-07T21:07:50Z,2025-03-07T21:07:50Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.8429,-135.76236,18.73753,5.83665,-2.67867,-9.85498,-1.90062,4.66028,-7.63923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,16:08:00,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,91.83718,-2.536303,-3.212723,2250.441416,242.527445,02:00:00,5.6809,1.54486,5.91601,-22.70273,11.47068,19.35702,1.42981,0.17308,81.72003,-6.830547,0.260647,0.420742,-11.04205,7.19477,-1.29791,50,5.46454,6.58218,-132.73819,-6.63147,-19.1084,36.37186,-19.72339,768299d7-3f70-4385-804d-a1977a090483,NA,NA,NA,NA,NA,1000066707,"Kramer, John",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,APP_MOU,1,Top,1,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,4086edc0-fb98-11ef-b408-8f27120e2181,89.58573,NA,NA,10.11714,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:08:00,2025-03-07T21:08:00Z,2025-03-07T21:08:00Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.5815,-133.98769,18.18593,5.68072,-5.9539,-9.8617,-1.5353,7.23863,-9.5542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,16:08:12,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,91.58474,-0.765307,-1.680154,2213.633288,241.215193,02:00:00,5.73814,1.37043,5.78075,-21.56363,12.35902,20.26875,3.22873,1.49573,82.53342,-4.830576,1.950439,0.419195,-10.71965,6.89048,-1.24333,50,5.66217,2.95778,-132.78423,-2.49129,-18.85545,32.35934,-20.05399,540d88b5-63f6-42b5-95f4-9d490ef9f397,NA,NA,NA,NA,NA,1000066707,"Kramer, John",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,APP_MOU,1,Top,1,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,472e6b80-fb98-11ef-b408-8f27120e2181,89.91619,NA,NA,9.05132,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:08:12,2025-03-07T21:08:12Z,2025-03-07T21:08:12Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.71711,-133.92885,16.17967,5.73775,-1.78194,-10.027,-1.35974,3.62474,-9.42773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,16:08:26,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,91.62445,-0.478469,-1.533355,2240.198199,235.202595,01:45:00,5.7974,1.41715,5.80575,-19.63147,14.27737,18.76347,3.71629,1.55436,82.38046,-4.206796,1.828583,0.41911,-9.91839,7.76985,-1.30176,50,5.74656,2.68583,-132.82657,-1.73242,-17.43077,32.7752,-18.51915,0da81074-91a7-4cf4-8ede-82ea94638ceb,NA,NA,NA,NA,NA,1000066707,"Kramer, John",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,APP_MOU,1,Top,1,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,4f8ac530-fb98-11ef-b408-8f27120e2181,89.93449,NA,NA,9.24399,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:08:26,2025-03-07T21:08:26Z,2025-03-07T21:08:26Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.69123,-133.97913,16.3876,5.79603,-1.08118,-9.25957,-1.40699,3.2988,-8.71538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,16:08:42,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,90.34106,-0.121509,-2.397962,2324.596191,218.989435,01:15:00,5.68959,1.76453,5.9358,-15.5328,19.59052,14.71965,4.28237,0.76514,80.21427,-3.159494,0.243136,0.426549,-8.27989,10.40469,-1.58073,50,5.67115,4.80716,-130.75666,-0.67045,-13.94208,34.6077,-14.65411,f8f765bf-d18b-4c30-9de4-c7ba8464ac2b,NA,NA,NA,NA,NA,1000066707,"Kramer, John",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,APP_MOU,1,Top,1,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,592ff290-fb98-11ef-b408-8f27120e2181,88.36593,NA,NA,10.12678,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:08:42,2025-03-07T21:08:42Z,2025-03-07T21:08:42Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.5587,-131.9577,17.30385,5.68559,-0.16189,-7.32705,-1.75595,5.29101,-6.97104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,16:09:15,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,Fastball,NA,NA,89.30622,-0.725271,-3.064951,2149.290399,245.076174,02:15:00,5.52782,2.4638,6.00138,-24.40371,11.25237,21.2758,2.82113,1.39405,79.96635,-5.340511,0.757899,0.429772,-11.85138,6.41737,-2.23344,50,5.45754,5.9944,-129.33594,-2.41691,-19.6424,32.38951,-21.53794,67b1e2b2-e5bc-4dd7-80dc-3b6b7bce7f36,NA,NA,NA,NA,NA,1000128701,"Zamora, Joseph",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,APP_MOU,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,6d057650-fb98-11ef-b408-8f27120e2181,87.70334,NA,NA,9.33987,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:09:15,2025-03-07T21:09:15Z,2025-03-07T21:09:15Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.49654,-130.45715,16.19475,5.5283,-1.67135,-10.76897,-2.45271,6.67435,-9.8212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,16:10:04,"Brink, Jake",1000233506,Right,COL_CHA,Undefined,ChangeUp,NA,NA,80.1532,-1.110503,-3.835553,1807.424138,245.225636,02:15:00,5.78029,2.05536,6.02042,-34.04809,10.43898,18.78005,1.91187,0.06225,71.74467,-7.502838,-0.461993,0.480052,-10.96245,6.26807,-1.76436,50,5.67495,7.04777,-115.93193,-3.2564,-14.53481,26.88061,-23.86337,125ae849-dd34-4b92-a76d-425e0a03f77a,NA,NA,NA,NA,NA,1000128701,"Zamora, Joseph",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,APP_MOU,1,Top,1,1,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,COL_CHA,APP_MOU,BallparkAtPatriotPoint,D1,CAA,20250307-BallparkAtPatriotPoint-1,8a048ed0-fb98-11ef-b408-8f27120e2181,78.51741,NA,NA,8.40853,NA,NA,NA,0b34f63f-a9c1-4172-89d3-18a900d1f44a,2025-03-07,21:10:04,2025-03-07T21:10:04Z,2025-03-07T21:10:04Z,NA,v3,471501,471230,NA,"Johnson, Dylan",805359,Right,COL_CHA,54.47745,-116.96549,13.44031,5.78252,-2.33885,-11.93169,-2.04609,7.60663,-7.26741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
