PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-13,13:09:23,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,91.81413,-2.869536,-0.297072,2115.642835,200.951915,12:45:00,6.58488,0.99567,5.71635,-9.67548,24.18249,8.7854,3.10319,1.45104,82.75294,-4.801035,1.274189,0.418795,-4.50339,13.47973,-0.97607,50,6.33874,0.28167,-132.97924,-6.84389,-7.95643,32.06451,-8.3586,e79ad92c-1fc0-4e71-a5eb-92ba34d94a09,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ORE_BEA,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,32096de0-18a3-11f0-a810-47342a1982df,90.00206,NA,NA,9.06119,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:09:23,2025-04-13T20:09:23Z,2025-04-13T20:09:23Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.77842,-134.12648,16.03225,6.57826,-6.54482,-4.1793,-0.99124,0.56634,-3.97822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-13,13:09:41,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,91.82053,-1.798705,-0.854073,2156.13228,200.938855,12:45:00,6.58529,0.97987,5.80951,-11.26851,22.6306,8.1652,3.97285,0.86602,82.21684,-4.036531,0.608877,0.41905,-4.39181,12.43253,-0.91445,50,6.43101,1.60433,-132.99966,-4.41247,-7.71138,33.77188,-10.34437,6df343d7-1656-4abb-bcb5-215319d8c0ec,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ORE_BEA,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,3cc7fa80-18a3-11f0-a810-47342a1982df,89.94737,NA,NA,9.60369,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:09:41,2025-04-13T20:09:41Z,2025-04-13T20:09:41Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.68392,-134.18375,16.88594,6.57936,-4.04978,-5.17219,-0.97544,1.8747,-3.85569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-13,13:10:00,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,91.94786,-1.693689,-0.481692,2143.512859,196.17439,12:30:00,6.46527,0.94413,5.87914,-10.34453,23.231,6.37949,4.02976,1.02839,82.63681,-3.759865,0.662831,0.417045,-3.36343,12.6828,-0.90862,50,6.32214,0.82546,-133.26394,-4.13178,-5.95446,32.79119,-9.72089,be30ae8b-be10-4d33-9569-99c66e7de26f,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ORE_BEA,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,47b4c310-18a3-11f0-a810-47342a1982df,90.3798,NA,NA,9.31105,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:10:00,2025-04-13T20:10:00Z,2025-04-13T20:10:00Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.61427,-134.39454,16.39559,6.45882,-3.79662,-4.86045,-0.94062,1.03076,-2.97723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-13,13:10:19,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,90.98979,-3.118128,-1.678857,2253.601109,197.42699,12:30:00,6.44845,1.04768,5.7316,-11.84194,22.44667,6.67052,2.55362,0.03961,82.5221,-5.425446,-0.485968,0.42145,-3.8613,12.65036,-0.9117,50,6.18092,3.56033,-131.79289,-7.46483,-6.7433,29.85999,-10.08165,bcd772b7-9cc8-46c5-82f9-aa554fb12c29,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ORE_BEA,1,Top,0,3,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,532dc610-18a3-11f0-a810-47342a1982df,89.43509,NA,NA,8.46769,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:10:19,2025-04-13T20:10:19Z,2025-04-13T20:10:19Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.76432,-132.86795,14.93,6.44314,-7.10186,-5.04082,-1.04426,3.80311,-3.37165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-13,13:10:38,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,92.14279,-2.455551,-0.960013,2285.402615,200.217377,12:45:00,6.37149,1.08711,5.68615,-11.33721,22.45442,7.79863,3.13622,0.84211,82.67588,-4.692902,0.434009,0.418385,-4.22303,12.50111,-1.01105,50,6.15772,1.86905,-133.40446,-5.97463,-7.47506,33.45872,-10.04629,7e0d9e95-c945-4522-8348-df304ae34580,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,ORE_BEA,1,Top,0,3,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,5e6923d0-18a3-11f0-a810-47342a1982df,90.09033,NA,NA,9.46691,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:10:38,2025-04-13T20:10:38Z,2025-04-13T20:10:38Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.80765,-134.60485,16.72936,6.36561,-5.6142,-5.02314,-1.08292,2.13723,-3.73753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-13,13:10:59,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,93.14286,-2.445404,-1.148177,2217.334761,195.783009,12:30:00,6.49637,0.95172,5.88928,-10.67501,21.81438,5.84776,3.33431,0.37277,84.39183,-4.545936,-0.099009,0.410244,-3.33776,12.23075,-0.86254,50,6.29309,2.44707,-135.07644,-6.01708,-6.11433,31.75667,-9.76895,f34127a9-a511-4d26-be54-0217985afbfd,NA,NA,NA,NA,-165.807074,804928,"Talt, Easton",1568.766964,NA,75.91399,Left,19.497315,NA,NA,NA,NA,43.84648,NA,NA,0.64351,3.30701,-0.37892,NA,NA,NA,NA,NA,1,6,ORE_BEA,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,6acd7130-18a3-11f0-a810-47342a1982df,91.87815,15.28438,NA,8.75103,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:10:59,2025-04-13T20:10:59Z,2025-04-13T20:10:59Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.6084,-136.15558,15.87834,6.49192,-5.68512,-4.88448,-0.94923,2.65484,-3.05717,37.490473,0.6398,-101.63989,8.93673,NA,NA,NA,NA,NA,NA,3.31643,36.8757,-22.18931,NA,NA,NA,NA,NA,NA,-0.38295,-25.61162,5.00533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
7,2025-04-13,13:11:23,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,94.36805,-1.245784,-0.993521,2316.96585,208.199729,01:00:00,6.48158,0.93375,5.8346,-12.47591,19.4404,9.79815,4.28362,0.8267,84.8236,-3.682182,0.762937,0.40661,-5.24516,10.59508,-0.85811,50,6.37251,1.90632,-136.78732,-3.29122,-9.78438,34.51947,-12.40994,d386e2ae-78b2-44a7-ac51-c3689ee0a533,NA,NA,NA,NA,NA,804928,"Talt, Easton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,ORE_BEA,1,Top,0,3,2,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,79346c60-18a3-11f0-a810-47342a1982df,92.69927,NA,NA,9.54445,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:11:23,2025-04-13T20:11:23Z,2025-04-13T20:11:23Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.65936,-137.95813,17.25973,6.477,-2.87031,-6.20497,-0.9284,2.23818,-4.89219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-13,13:12:12,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Slider,NA,NA,83.11402,-1.053338,-2.140228,2463.745809,89.266697,09:00:00,6.05673,1.40519,5.55145,-39.84376,1.19449,-6.78465,1.75134,-1.16102,76.4545,-8.320645,-3.350703,0.461069,2.83189,1.28776,-1.21539,50,5.93919,4.78361,-120.61406,-3.61132,4.16455,23.83377,-30.28027,3a6b4add-eb7d-4fcf-ad88-4889335c5dc7,NA,NA,NA,NA,NA,804109,"Arquette, Aiva",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ORE_BEA,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,9661e7e0-18a3-11f0-a810-47342a1982df,81.75012,NA,NA,6.65952,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:12:12,2025-04-13T20:12:12Z,2025-04-13T20:12:12Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.94835,-121.58794,11.91689,6.06147,-2.37403,-15.14013,-1.40738,4.61344,2.08228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-13,13:12:33,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,91.71043,-3.36712,-1.673679,2208.223722,201.790441,12:45:00,6.37933,1.03971,5.67696,-12.83032,21.62537,8.08705,2.16621,0.15292,81.74935,-5.882328,-0.228716,0.422476,-4.68032,12.53871,-0.90371,50,6.08743,3.50141,-132.54945,-8.12181,-8.10808,35.26236,-10.45231,88794096-11e8-46b2-99f7-15b472bffb7b,NA,NA,NA,NA,136.20416,804109,"Arquette, Aiva",4328.404141,NA,69.69566,Right,43.11903,NA,NA,NA,NA,42.75852,NA,NA,0.37219,2.16038,-0.08925,NA,NA,NA,NA,NA,2,2,ORE_BEA,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,a323be90-18a3-11f0-a810-47342a1982df,89.21799,34.55047,NA,9.96108,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:12:33,2025-04-13T20:12:33Z,2025-04-13T20:12:33Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.81755,-133.82493,17.63118,6.37437,-7.74374,-5.22616,-1.03566,3.79469,-4.05404,NA,0.37219,-53.85719,-0.05025,1.34052,-1.77056,6.06865,-12.23452,12.28351,-4.9125,2.16038,69.86915,-29.31222,3.82094,-1.33365,2.47894,-4.6538,4.56242,-1.80001,-0.08925,51.63976,-9.85912,2.82913,-2.00497,6.1243,-12.19154,12.16771,-4.84863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-04-13,13:13:01,"Krakoski, Jason",814170,Right,CAL_FUL,Undefined,Fastball,NA,NA,93.51246,-1.547315,-2.052983,2307.559777,197.617516,12:30:00,6.50014,0.92691,5.71337,-9.10623,23.90395,7.17315,4.29852,-0.38872,83.1872,-3.403618,-0.77126,0.413519,-4.32752,12.98327,-0.75941,50,6.36514,4.5089,-135.30157,-3.80524,-7.81756,36.53328,-8.72016,ec4af83c-d478-4377-b62b-ce1991176177,NA,NA,NA,NA,NA,804109,"Arquette, Aiva",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ORE_BEA,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,ORE_BEA,GoodwinField,D1,BW,20250413-GoodwinField-1,b3603d10-18a3-11f0-a810-47342a1982df,91.15045,NA,NA,10.32526,NA,NA,NA,eeca4550-f1e0-458f-81f7-3e23a2a74717,2025-04-13,20:13:01,2025-04-13T20:13:01Z,2025-04-13T20:13:01Z,NA,v3,471254,471404,13 April 2025 16:00-oregonst@calstfull,"Perez, Waldier",1000137519,Right,CAL_FUL,54.77986,-136.5861,18.26664,6.49354,-3.49863,-4.36008,-0.92278,4.78377,-3.90878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.28427,1.976671,0.705382,1.271289,-2.03985,4.08783,0.43275,-0.94398,6.30197,1.27074,127.27876,-0.29143,-1.03881,-0.81075,112.76108,-9.53291,6.32403,9.75315,-11.78299,1.21844,-5.34721,2.84394,High,High,High,NA,NA,High,Medium,Medium
