PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:02:26,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Fastball,NA,NA,88.27966,-0.600761,-4.681472,2356.049703,246.949735,02:15:00,4.95142,1.82771,6.49862,-23.8556,11.74749,24.5893,2.41014,-0.42991,79.5904,-5.144093,-0.233134,0.429453,-14.30977,6.70874,-1.50919,50,4.89882,9.50333,-127.8784,-2.02449,-23.37722,29.67623,-21.21427,33a62a6b-28a7-4ccd-b77f-6dd382b36543,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIA_RED,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,5749af20-f210-11ef-a3c0-6be88e7f2084,87.76858,NA,NA,8.68926,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:02:26,2025-02-23T18:02:26Z,2025-02-23T18:02:26Z,NA,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,54.001,-128.80355,14.83811,4.95162,-1.36315,-10.60714,-1.81681,10.23211,-11.68861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,13:02:42,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Fastball,NA,NA,89.36157,-0.731012,-4.918883,2331.9965,246.538643,02:15:00,4.93919,1.75053,6.27756,-23.78261,11.04662,22.72411,2.28096,-0.901,81.10005,-5.222073,-0.827933,0.42476,-13.20524,6.29874,-1.39695,50,4.87347,10.21096,-129.42761,-2.38328,-22.27141,28.45656,-21.55085,3cfee76c-ea88-4d0d-b344-2df194c00524,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIA_RED,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,60b0e920-f210-11ef-a3c0-6be88e7f2084,88.7383,NA,NA,8.26152,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:02:42,2025-02-23T18:02:42Z,2025-02-23T18:02:42Z,NA,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,54.22257,-130.3527,14.22828,4.93956,-1.68269,-10.77543,-1.74066,10.93498,-11.13571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:02:59,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Fastball,NA,NA,90.25487,-1.044784,-4.57045,2465.786634,242.560249,02:00:00,5.01095,1.63876,6.32413,-22.20021,11.73292,20.45611,2.19556,-0.87467,82.24955,-5.240678,-0.88225,0.41926,-11.96213,6.73217,-1.3138,50,4.92378,9.63756,-130.83256,-3.06441,-20.68956,28.1529,-20.53017,e3084218-d01a-4be5-8ce7-6376261620a4,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIA_RED,1,Top,0,1,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,6af22f70-f210-11ef-a3c0-6be88e7f2084,89.90231,NA,NA,8.00532,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:02:59,2025-02-23T18:02:59Z,2025-02-23T18:02:59Z,NA,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,54.17676,-131.72827,14.07645,5.01089,-2.41123,-10.26508,-1.63089,10.29581,-10.34478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:03:33,"Fink, Carter",824473,Right,ETS_BUC,Undefined,ChangeUp,NA,NA,84.74987,1.100499,-3.383895,2013.913651,262.121745,02:45:00,4.67451,2.04689,6.66374,-33.86124,4.04107,20.40592,2.8616,0.64744,77.27868,-5.267513,0.326629,0.443103,-11.78213,2.15362,-1.82732,50,4.73491,6.55327,-123.10651,1.39385,-18.01399,25.28646,-28.88133,070b612a-40a7-41cc-b2ee-98fa2ddef909,NA,NA,NA,NA,-127.524158,1000297118,"Batusich, Ty",5194.20416,NA,66.834460000000007,Left,67.348543,NA,NA,NA,NA,20.09171,NA,NA,2.26923,2.95996,-0.63344,NA,NA,NA,NA,NA,1,4,MIA_RED,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,7f532a50-f210-11ef-a3c0-6be88e7f2084,85.06483,43.53453,NA,7.47119,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:03:33,2025-02-23T18:03:33Z,2025-02-23T18:03:33Z,NA,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,53.83809,-123.89236,12.64323,4.67764,2.29141,-14.44067,-2.03968,7.11311,-9.00699,13.733386,2.26923,-22.99417,-5.87051,3.39556,-1.07552,0.29113,-0.07322,0.01594,-0.00192,2.95996,90.46263,-31.78278,4.5645,-0.89031,0.14334,-0.01542,-0.00677,0.00465,-0.63344,-29.94044,1.83586,0.0037,-0.08772,0.03739,-0.01133,0.00298,-5.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-02-23,13:03:55,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Fastball,NA,NA,90.49045,0.634073,-4.103418,2463.292819,235.112683,01:45:00,4.99779,1.89561,5.98143,-21.17883,13.22887,17.26899,3.82217,-0.47541,81.7325,-3.376113,-1.009622,0.422182,-10.03272,6.93422,-1.58008,50,5.03634,8.64661,-131.05481,0.79076,-17.29874,29.92029,-20.21788,5731006f-1e57-4311-9b57-28a6cc97dba5,NA,NA,NA,NA,NA,1000297118,"Batusich, Ty",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MIA_RED,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,8cc0aa50-f210-11ef-a3c0-6be88e7f2084,89.28013,NA,NA,8.75795,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:03:55,2025-02-23T18:03:55Z,2025-02-23T18:03:55Z,NA,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,54.51616,-132.08184,14.96014,4.99729,1.48476,-10.10894,-1.88707,9.2404,-8.64937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,13:04:13,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Fastball,NA,NA,88.94751,-1.576464,-3.210786,2338.111964,244.01522,02:15:00,5.03009,1.66521,6.51533,-24.09332,10.51414,19.2645,1.57309,0.32124,81.24462,-6.126683,0.284754,0.423405,-11.05071,6.30154,-1.44917,50,4.90953,6.50763,-129.1493,-4.26502,-18.60678,27.67248,-21.56378,ffdfc4bb-8ca6-4455-85a9-5ed379a518a9,NA,NA,NA,NA,-13.844107,1000297118,"Batusich, Ty",NA,NA,91.10069,Left,-15.118816,NA,NA,NA,7.83652,7.83652,0.04634,-12.914292,1.82709,1.617,-0.31929,NA,NA,NA,NA,NA,1,6,MIA_RED,1,Top,0,2,2,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,972270f0-f210-11ef-a3c0-6be88e7f2084,89.02213,1.617,NA,7.70289,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:04:13,2025-02-23T18:04:13Z,2025-02-23T18:04:13Z,GroundBall,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,53.98556,-130.00047,13.83624,5.03052,-3.60175,-10.78189,-1.65814,7.07995,-9.30339,NA,1.82589,125.40358,NA,NA,NA,NA,NA,NA,NA,1.61734,-34.89434,NA,NA,NA,NA,NA,NA,NA,-0.319,-30.90445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
7,2025-02-23,13:04:44,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Fastball,NA,NA,88.222,-0.336325,-3.075233,2408.815162,245.689693,02:15:00,5.00476,1.64379,6.60465,-24.34493,10.84339,21.37698,2.66748,0.60542,80.09407,-4.963435,0.809568,0.426944,-12.22398,6.15111,-1.44248,50,4.97165,6.08151,-128.13218,-1.441,-20.15006,28.56785,-22.03453,b9698de0-fb2a-4517-8b75-f708321ce561,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIA_RED,1,Top,1,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,a972db50-f210-11ef-a3c0-6be88e7f2084,88.28432,NA,NA,8.12793,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:04:44,2025-02-23T18:04:44Z,2025-02-23T18:04:44Z,NA,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,53.89621,-128.99794,14.28392,5.00521,-0.77323,-11.01727,-1.63604,6.69217,-10.07503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,13:05:06,"Fink, Carter",824473,Right,ETS_BUC,Undefined,ChangeUp,NA,NA,82.7354,0.669397,-3.045287,1935.734997,273.2369,03:00:00,4.84284,1.79298,6.24785,-40.45085,0.31504,19.628,2.09022,0.61739,74.95577,-6.864016,0.499936,0.459536,-11.19678,0.33047,-1.57596,50,4.87287,5.65571,-120.05202,0.14898,-16.11885,26.18653,-31.69828,0e35c52f-76bb-40ff-9f7d-b5547e9188d8,NA,NA,NA,NA,-68.16065,1000034148,"Baker, Dillon",NA,NA,74.77336,Right,-15.563255,NA,NA,NA,9.55459,9.10749,0.073458,-53.24935,2.82227,2.1671,-0.43306,NA,NA,NA,NA,NA,2,2,MIA_RED,1,Top,1,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,b6d69750-f210-11ef-a3c0-6be88e7f2084,82.02276,2.1671,NA,7.77964,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:05:06,2025-02-23T18:05:06Z,2025-02-23T18:05:06Z,GroundBall,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,54.2531,-120.97618,13.09326,4.84787,1.26765,-15.84914,-1.7856,6.22456,-8.05942,180,2.82105,39.40425,NA,NA,NA,NA,NA,NA,NA,2.16802,-29.50126,NA,NA,NA,NA,NA,NA,NA,-0.43002,-98.32177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-02-23,13:05:31,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Slider,NA,NA,79.54968,1.675796,-1.943983,2432.528349,75.63146,08:30:00,4.77548,1.79677,5.75724,-48.31093,-3.2087,-18.66489,2.31082,-1.56887,72.08135,-7.211012,-5.280522,0.48336,8.80859,-1.66929,-1.62435,50,4.88566,4.64755,-115.32234,1.77719,11.65495,24.94484,-34.38273,5fb67537-07b0-41b2-81a7-b6491cadb704,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MIA_RED,1,Top,1,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,c5e82a60-f210-11ef-a3c0-6be88e7f2084,77.9801,NA,NA,7.46833,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:05:31,2025-02-23T18:05:31Z,2025-02-23T18:05:31Z,NA,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,54.74202,-116.34354,12.47242,4.78409,3.18476,-17.19137,-1.80485,4.17041,5.82747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,13:05:51,"Fink, Carter",824473,Right,ETS_BUC,Undefined,Fastball,NA,NA,89.65495,-0.804417,-3.80464,2437.088691,241.983862,02:00:00,4.98857,1.65739,6.40432,-21.86879,12.41536,21.20009,2.42479,-0.07964,81.57122,-4.954834,0.029023,0.421423,-12.23182,7.05205,-1.39403,50,4.92074,7.82241,-130.09844,-2.4699,-20.86441,28.5049,-20.14499,5c20fbe9-b2d1-48d9-9a1b-ff9d6f2a7431,NA,NA,NA,NA,19.08572,1000034148,"Baker, Dillon",4888.983062,NA,83.38638,Right,47.033472,99.97854,98.94441,45.87183,251.54976,227.88065,5.314226,29.734028,1.54401,2.455,0.08731,NA,NA,NA,NA,NA,2,4,MIA_RED,1,Top,1,1,2,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,ETS_BUC,MIA_RED,EastTennesseeState,D1,SOCON,20250223-EastTennesseeState-1,d1b281b0-f210-11ef-a3c0-6be88e7f2084,89.4409,107.8467,NA,8.08374,NA,NA,NA,6fe864f6-a5e3-4306-add0-4590cc2a732d,2025-02-23,18:05:51,2025-02-23T18:05:51Z,2025-02-23T18:05:51Z,FlyBall,v3,4844,471355,NA,"Smoot, Will",1000192847,Right,ETS_BUC,54.09684,-130.99299,14.25245,4.98833,-1.8377,-10.07249,-1.64979,8.47719,-10.43221,201.516095,1.5512,78.6238,-18.97355,4.19116,-0.33316,-0.10779,0.03736,-0.00449,2e-4,2.45282,89.52732,-22.52234,2.05685,-0.27306,-0.02489,0.02148,-0.00375,2.2e-4,0.08661,27.27347,-0.58398,-0.11663,-0.00596,0.02473,-0.00814,0.0011,-6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
