PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:02:33,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,Sinker,NA,NA,90.57373,-2.119953,-2.911508,1932.92534,245.553269,02:15:00,5.84725,1.14573,5.9951,-24.80226,9.44284,18.18989,1.81244,-0.03881,82.34509,-6.75521,0.358932,0.421183,-10.2926,5.83516,-0.92652,50,5.66641,5.91981,-131.32739,-5.6896,-17.8192,30.06712,-22.07185,0cdad01a-8fd2-49b6-9134-47faf968f566,NA,NA,NA,NA,-16.553269,1000093450,"Sullivan, Case",1377.455693,NA,95.53112,Right,14.948771,104.30849,22.53586,-34.92474,268.4674,267.68347,2.639609,-21.882374,2.28638,1.9194,0.06482,NA,NA,NA,NA,NA,1,1,VAL_CRU,1,Top,0,0,0,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,d7b65920-fb97-11ef-bf36-652e58235c07,89.49189,24.33266,NA,8.22864,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:02:33,2025-03-07T21:02:33Z,2025-03-07T21:02:33Z,LineDrive,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.50463,-132.3547,15.03356,5.84792,-4.93547,-11.03593,-1.13918,6.52864,-8.9096,133.742335,2.2865,129.75284,-22.10973,4.7897,-0.74494,-0.00621,0.04511,-0.01185,0.0011,1.91925,36.15193,-15.21106,0.71524,-0.3743,0.26975,-0.10937,0.0233,-0.002,0.06494,-38.57539,-0.80038,0.64999,0.02216,-0.15766,0.07791,-0.01731,0.00151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-03-07,16:03:08,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,TwoSeamFastBall,NA,NA,89.05255,-1.503031,-3.218131,1787.024192,246.187273,02:15:00,5.67388,1.2548,5.90503,-26.73269,8.9463,17.40698,2.04844,-0.285,80.61998,-6.496442,-0.095595,0.42991,-9.93595,5.41807,-1.00613,50,5.53779,6.51977,-129.04331,-4.28315,-16.54956,29.91211,-23.14956,9f6b26b8-3e5a-41a7-8c09-c7d84644d95a,NA,NA,NA,NA,17.780071,1000123462,"Maka, Ryan",1998.662043,NA,103.21561,Left,5.212027,NA,NA,NA,101.01929,95.52588,0.743168,19.399147,0.83033,2.09277,0.25975,NA,NA,NA,NA,NA,2,1,VAL_CRU,1,Top,0,0,0,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,ec7ec860-fb97-11ef-bf36-652e58235c07,87.67515,4.07091,NA,8.43257,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:03:08,2025-03-07T21:03:08Z,2025-03-07T21:03:08Z,GroundBall,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.59336,-130.10369,14.95605,5.67508,-3.4625,-11.57478,-1.24765,7.10645,-8.27478,313.811111,0.89968,142.284,-20.67658,NA,NA,NA,NA,NA,NA,2.15262,12.65124,-21.01962,NA,NA,NA,NA,NA,NA,0.25205,46.18126,-1.83357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-03-07,16:05:43,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,Cutter,NA,NA,80.34741,-1.193137,-3.488557,2143.663942,117.02911,10:00:00,5.88538,1.18728,5.66291,-40.68644,3.90658,-4.44866,1.38005,-2.44047,72.74345,-8.671811,-4.282096,0.480623,1.07413,2.91382,-0.88924,50,5.75922,7.26495,-116.22496,-3.76637,1.44154,25.61385,-28.26352,67f076dc-c6e3-4213-9018-aa2643665a6f,NA,NA,NA,NA,NA,10044558,"Patton, Liam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,VAL_CRU,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,49115c50-fb98-11ef-bf36-652e58235c07,78.42405,NA,NA,7.60396,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:05:43,2025-03-07T21:05:43Z,2025-03-07T21:05:43Z,NA,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.83171,-117.28494,12.80693,5.89088,-2.59674,-14.13176,-1.18865,7.2053,0.72077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,16:06:02,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,TwoSeamFastBall,NA,NA,92.53027,-1.373088,-3.130295,2046.661521,224.042714,01:30:00,5.87813,1.04088,6.00928,-15.20572,17.7384,16.01052,3.33677,-0.52781,83.40912,-4.308112,-0.255234,0.413105,-9.15008,9.86434,-0.80329,50,5.76182,6.61868,-134.07261,-3.63893,-16.44348,32.42254,-14.44699,5222d625-9f65-4144-a86f-0a52604d645a,NA,NA,NA,NA,155.329156,10044558,"Patton, Liam",3698.52203,NA,75.54228,Right,26.312232,NA,NA,NA,NA,54.09299,NA,NA,-1.1145,3.11027,0.55807,NA,NA,NA,NA,NA,3,2,VAL_CRU,1,Top,0,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,5482be30-fb98-11ef-bf36-652e58235c07,91.24179,23.80218,NA,9.12116,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:06:02,2025-03-07T21:06:02Z,2025-03-07T21:06:02Z,NA,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.48705,-135.15335,16.21127,5.87509,-3.15737,-7.22349,-1.03305,7.16679,-8.22174,289.121157,-1.1145,-90.2504,7.06424,-0.89151,0.08247,0.00615,-0.00653,0.00437,-0.00155,3.11027,49.11135,-23.4713,2.43065,-0.47766,0.08641,-0.014,7.5e-4,6.6e-4,0.55807,41.45492,-13.45051,3.44761,-0.82766,0.18184,-0.04001,0.0065,-2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-03-07,16:06:22,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,Cutter,NA,NA,82.75884,-1.241548,-3.675845,2308.315262,156.924005,11:15:00,5.78491,1.16726,5.83881,-38.61309,2.48225,-0.50091,1.41069,-2.29553,76.0106,-8.325019,-3.765491,0.46139,-0.79559,2.0337,-0.86709,50,5.66095,7.72604,-119.95435,-3.88528,-1.1561,23.78201,-29.21875,4cd86778-2685-4502-a654-a036f0773424,NA,NA,NA,NA,NA,10044558,"Patton, Liam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,VAL_CRU,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,60790780-fb98-11ef-bf36-652e58235c07,81.69329,NA,NA,6.74824,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:06:22,2025-03-07T21:06:22Z,2025-03-07T21:06:22Z,NA,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.65966,-120.87463,11.89101,5.78942,-2.75461,-14.60938,-1.16693,7.77078,-0.57805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,16:06:39,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,TwoSeamFastBall,NA,NA,91.51171,-1.331739,-3.139624,2086.688527,218.699579,01:15:00,6.00185,0.84404,5.85492,-14.42272,19.37643,14.56965,3.56053,-0.86186,82.66937,-4.119183,-0.531395,0.418431,-8.33036,10.61347,-0.59707,50,5.88511,6.61478,-132.58271,-3.47543,-14.68404,30.91259,-13.46559,d2adaf5e-70a8-443d-b6a5-228cdbb7d17d,NA,NA,NA,NA,NA,10044558,"Patton, Liam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,VAL_CRU,1,Top,0,2,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,6a637b40-fb98-11ef-bf36-652e58235c07,90.08034,NA,NA,8.84234,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:06:39,2025-03-07T21:06:39Z,2025-03-07T21:06:39Z,NA,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.64096,-133.66041,15.4563,5.99809,-3.00598,-6.7328,-0.8366,7.1267,-7.34202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,16:07:03,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,Slider,NA,NA,82.43466,-0.400843,-0.66874,1867.917153,50.743679,07:45:00,5.65645,1.35256,6.04266,-48.69542,-7.08209,-10.51327,1.22735,-0.14273,74.68636,-9.368096,-2.566505,0.464288,5.18256,-3.06181,-1.29491,50,5.59946,1.80377,-119.64031,-2.45186,7.34825,27.76904,-36.51534,9e722687-85d0-4e31-96da-b173f87147a9,NA,NA,NA,NA,-32.590575,10044558,"Patton, Liam",NA,NA,63.47077,Right,-23.154347,NA,NA,NA,4.08,1.43708,0.033286,-19.947833,1.42965,1.22102,0.14591,NA,NA,NA,NA,NA,3,5,VAL_CRU,1,Top,0,2,2,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,78b010a0-fb98-11ef-bf36-652e58235c07,81.18328,1.22102,NA,7.74829,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:07:03,2025-03-07T21:07:03Z,2025-03-07T21:07:03Z,GroundBall,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.45616,-120.67017,13.88452,5.66528,-1.09762,-18.25767,-1.35675,1.53125,3.67412,NA,1.42883,72.26904,NA,NA,NA,NA,NA,NA,NA,1.22144,-36.68238,NA,NA,NA,NA,NA,NA,NA,0.14644,-46.20123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
8,2025-03-07,16:07:40,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,ChangeUp,NA,NA,82.29169,-0.73848,-2.644208,1586.91382,271.452664,03:00:00,5.68164,1.12645,5.86434,-40.68542,0.9463,18.11493,1.60441,0.17791,75.08198,-8.233461,0.609034,0.464391,-10.04768,1.14106,-0.92254,50,5.59826,4.79931,-119.39558,-2.8879,-14.37898,24.83516,-30.5411,fa590705-a381-40f3-83c1-3abddc7be8c6,NA,NA,NA,NA,NA,1000096597,"Amburgey, Austin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,VAL_CRU,1,Top,0,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,8eb879f0-fb98-11ef-bf36-652e58235c07,81.16535,NA,NA,7.20971,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:07:40,2025-03-07T21:07:40Z,2025-03-07T21:07:40Z,NA,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.63511,-120.35586,12.41758,5.6871,-1.707,-15.27055,-1.11886,5.35528,-7.18949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,16:07:55,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,TwoSeamFastBall,NA,NA,92.45688,-2.36696,-3.194684,2163.016512,232.063323,01:45:00,5.86001,0.97055,6.02399,-16.54733,16.28954,19.44225,2.28418,-0.37117,83.8815,-5.525806,0.298931,0.412432,-10.89182,9.40426,-0.73049,50,5.66539,6.62215,-133.98225,-6.03259,-19.65484,30.91063,-15.20361,f8cede6d-6345-4084-a1a1-c543c6b07d6a,NA,NA,NA,NA,NA,1000096597,"Amburgey, Austin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,VAL_CRU,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,97ff33a0-fb98-11ef-bf36-652e58235c07,91.39068,NA,NA,8.57538,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:07:55,2025-03-07T21:07:55Z,2025-03-07T21:07:55Z,NA,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.47394,-135.01048,15.45531,5.85765,-5.52685,-7.6018,-0.96165,7.27595,-9.82742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,16:08:13,"Butler, Ryan",830633,Right,OSU_BUC,Undefined,ChangeUp,NA,NA,83.72206,-2.352412,-2.513071,1693.57201,252.082692,02:30:00,5.61387,1.27032,5.76477,-32.45978,7.87008,20.16477,0.71616,0.6103,76.56515,-8.340766,1.101538,0.457072,-11.0989,5.08929,-1.07491,50,5.39919,4.53163,-121.40554,-6.05425,-16.46208,25.15025,-24.62555,ee9a8785-a061-49a9-b83e-bbf2db13845d,NA,NA,NA,NA,NA,1000096597,"Amburgey, Austin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,VAL_CRU,1,Top,0,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OSU_BUC,VAL_CRU,NickSwisherField,D1,BIG10,20250307-NickSwisherField-1,a2977390-fb98-11ef-bf36-652e58235c07,82.46494,NA,NA,7.15691,NA,NA,NA,36fdd12e-bd72-446a-ba6b-a0fe0305c728,2025-03-07,21:08:13,2025-03-07T21:08:13Z,2025-03-07T21:08:13Z,NA,v3,4144,471476,NA,"Eckelman, Mason",806065,Right,OSU_BUC,54.73557,-122.38263,12.57512,5.61581,-5.09755,-12.31278,-1.26339,5.17118,-8.23104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
