PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:01:27,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Fastball,NA,NA,90.91929,-2.451327,3.235304,2307.543598,156.10497,11:15:00,5.83563,-1.4526,6.43023,-15.83253,17.55981,-7.28012,2.25823,0.9175,82.69937,-5.499634,1.918331,0.415906,4.73835,10.21859,1.22506,50,5.65332,-7.15488,-131.81234,-6.05832,8.28907,29.50361,-14.29808,2eaa76d1-eb18-48c3-8e6e-ef1268c728c5,NA,NA,NA,NA,NA,10281096,"Vachini, Dante",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_MUS,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,eaa9ace0-f218-11ef-88c8-dd7efee8918c,90.62739,NA,NA,8.21992,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:01:27,2025-02-23T19:01:27Z,2025-02-23T19:01:27Z,NA,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.06845,-132.71986,14.7518,5.8329,-5.61852,-7.14904,1.44906,-7.40985,4.14453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,13:01:43,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Fastball,NA,NA,90.77189,-2.074531,2.107896,2291.747966,149.461807,11:00:00,5.80851,-1.44227,6.18699,-13.67312,20.34391,-11.27347,2.75141,-0.43449,81.82918,-4.746947,0.074816,0.419778,6.55622,11.58595,1.28897,50,5.64507,-4.38277,-131.63346,-5.10875,11.32844,31.90755,-12.15484,549d34dc-3612-4062-b125-b50f1101a320,NA,NA,NA,NA,-70.783327,10281096,"Vachini, Dante",4541.220768,NA,82.51445,Left,81.076841,NA,NA,NA,NA,6.64224,NA,NA,2.7482,3.05981,0.4678,NA,NA,NA,NA,NA,1,2,CAL_MUS,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,f411aa30-f218-11ef-88c8-dd7efee8918c,89.79137,42.14691,NA,8.94271,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:01:43,2025-02-23T19:01:43Z,2025-02-23T19:01:43Z,NA,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.31283,-132.67475,15.95378,5.80532,-4.71208,-6.07742,1.43804,-4.75248,5.66422,171.310375,2.76045,5.72266,-11.84552,NA,NA,NA,NA,NA,NA,3.07058,119.15946,-31.17794,NA,NA,NA,NA,NA,NA,0.46767,-17.72135,1.37838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-02-23,13:02:15,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Slider,NA,NA,83.91153,-0.971734,2.183676,2309.42459,288.350613,03:30:00,5.73653,-1.50814,6.09504,-39.89069,-0.78319,5.71359,1.51275,0.9888,77.83232,-8.294779,3.213684,0.450092,-2.39071,0.19189,1.33689,50,5.64058,-4.86803,-121.98512,-3.37397,-3.62577,22.53054,-31.883,e2d8c61a-bbae-4248-9c60-3114c4976980,NA,NA,NA,NA,NA,10281096,"Vachini, Dante",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CAL_MUS,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,06e8a9b0-f219-11ef-88c8-dd7efee8918c,83.7438,NA,NA,6.07922,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:02:15,2025-02-23T19:02:15Z,2025-02-23T19:02:15Z,NA,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.40739,-122.79646,11.26527,5.74141,-2.22583,-15.9415,1.50984,-4.73746,-1.81289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:02:32,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Sinker,NA,NA,90.00795,-2.440607,3.971506,2304.939209,126.977791,10:15:00,5.49177,-1.74861,6.21402,-21.328,12.8806,-15.64257,1.45524,0.61898,82.35893,-6.455946,1.153803,0.420958,9.19209,7.6865,1.45798,50,5.29755,-8.41629,-130.44827,-6.22324,15.84366,27.36572,-18.92545,eb96b9c7-abf0-4e2e-b229-b0fbc26dc9ea,NA,NA,NA,NA,NA,10281096,"Vachini, Dante",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAL_MUS,1,Top,0,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,117e78a0-f219-11ef-88c8-dd7efee8918c,89.53958,NA,NA,7.64902,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:02:32,2025-02-23T19:02:32Z,2025-02-23T19:02:32Z,NA,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.28668,-131.34446,13.68286,5.4912,-5.60345,-9.46273,1.74209,-8.93515,7.92183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,13:02:51,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Sinker,NA,NA,91.92024,-1.842557,3.625882,2429.503196,132.416819,10:30:00,5.64002,-1.65178,6.42488,-18.26221,14.24576,-14.44599,2.42049,0.48178,83.95298,-5.320813,1.012924,0.410361,8.52363,8.26622,1.39897,50,5.4999,-7.85765,-133.34842,-4.8187,15.3397,28.81174,-17.29763,aabdbf46-c7c3-49f0-b68b-11679c5f5bee,NA,NA,NA,NA,NA,10281096,"Vachini, Dante",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CAL_MUS,1,Top,0,3,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,1c710d90-f219-11ef-88c8-dd7efee8918c,91.85186,NA,NA,7.96726,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:02:51,2025-02-23T19:02:51Z,2025-02-23T19:02:51Z,NA,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.07524,-134.22604,14.40587,5.63865,-4.2918,-8.64882,1.64543,-8.32491,7.66985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.78317,2.631853,1.484954,1.146899,-1.10786,2.18105,-0.52365,-2.20375,5.27375,-2.01541,76.34846,8.72982,-48.44558,-2.1114,74.33253,-5.14354,5.34013,18.998,-13.97083,-2.10631,-45.5394,4.45803,High,High,High,NA,NA,High,High,High
6,2025-02-23,13:03:20,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Fastball,NA,NA,91.71675,-2.59964,2.602837,2356.041221,148.108306,11:00:00,5.90779,-1.36289,6.19734,-13.77493,19.33938,-11.3278,2.35582,0.09767,83.28033,-5.268598,0.560486,0.41417,6.59713,11.09347,1.17223,50,5.70466,-5.5606,-132.9672,-6.38827,11.73405,30.24384,-12.44256,038c51df-85a4-4aee-ae16-f03bb2459993,NA,NA,NA,NA,NA,10281096,"Vachini, Dante",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,CAL_MUS,1,Top,0,3,2,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,2dfdb2c0-f219-11ef-88c8-dd7efee8918c,91.00706,NA,NA,8.43641,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:03:20,2025-02-23T19:03:20Z,2025-02-23T19:03:20Z,NA,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.30109,-133.94193,15.12192,5.90409,-5.98726,-6.22128,1.35753,-5.93877,5.86703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,13:03:35,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Sinker,NA,NA,91.07115,-1.052531,2.926432,2364.766911,133.937994,10:30:00,5.6723,-1.62893,6.04004,-17.79324,16.06961,-15.448,3.21359,-0.20425,82.3456,-4.453451,0.149967,0.418826,8.83394,8.93315,1.4087,50,5.58053,-6.08742,-132.05251,-2.95133,15.43651,30.84908,-16.56418,a035254d-8fe8-4ff1-bc67-fcc9ae84d0b9,NA,NA,NA,NA,2.851977,1000339010,"Castellon, Nate",3039.525994,NA,94.25113,Right,27.912013,109.41968,56.02686,11.28212,332.29201,309.25982,4.902496,12.041259,0.70669,3.24073,0.20343,NA,NA,NA,NA,NA,2,1,CAL_MUS,1,Top,1,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,36c10ba0-f219-11ef-88c8-dd7efee8918c,89.99551,76.02855,NA,8.72555,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:03:35,2025-02-23T19:03:35Z,2025-02-23T19:03:35Z,FlyBall,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.45911,-133.09014,15.42454,5.67043,-2.39418,-8.28209,1.62219,-6.60664,7.71825,204.751407,0.70779,121.98182,-25.46252,5.93239,-1.25881,0.25396,-0.04499,0.00541,-2.9e-4,3.24132,64.69124,-15.12465,-0.00218,0.4082,-0.21118,0.05763,-0.00782,4.1e-4,0.2024,6.09964,5.27568,-1.78453,0.44061,-0.08461,0.01232,-0.0012,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
8,2025-02-23,13:04:09,"Patton, Myles",811573,Left,TEX_AGG,Undefined,Slider,NA,NA,83.4442,-1.298776,2.555058,2366.06222,261.983804,02:45:00,5.65306,-1.71552,6.05735,-37.50848,2.20602,7.45634,1.32377,1.27243,77.26169,-8.189927,3.896991,0.453572,-3.16957,1.85225,1.51299,50,5.532,-5.69363,-121.21422,-3.96362,-4.73784,22.65313,-29.40537,d9271e7d-aeee-4136-9a4d-9ac9ca44b14d,NA,NA,NA,NA,NA,809917,"Fenn, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CAL_MUS,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,4b233f00-f219-11ef-88c8-dd7efee8918c,83.10137,NA,NA,6.18251,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:04:09,2025-02-23T19:04:09Z,2025-02-23T19:04:09Z,NA,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.44415,-122.04194,11.32657,5.65719,-2.88918,-14.70268,1.71787,-5.52051,-2.36892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,13:04:25,"Patton, Myles",811573,Left,TEX_AGG,Undefined,ChangeUp,NA,NA,79.773929999999993,0.095042,1.460142,1772.238171,107.489259,09:30:00,5.58261,-1.78754,6.31798,-38.12762,4.85051,-11.31233,2.49287,-1.38505,73.51604,-6.997214,-0.588298,0.47184,6.30591,2.87815,1.68602,50,5.57132,-2.5621,-116.03073,-0.91517,8.62462,21.05129,-28.23759,afd1305a-2ecf-44c6-9b2a-ffc53e53bd5e,NA,NA,NA,NA,16.279504,809917,"Fenn, Ryan",4969.137887,NA,76.88703,Right,41.435161,100.89688,78.47654,43.81494,220.79583,220.79583,4.792916,33.744836,1.54565,2.65848,1.38248,NA,NA,NA,NA,NA,3,2,CAL_MUS,1,Top,2,1,0,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,54e458d0-f219-11ef-88c8-dd7efee8918c,79.88389,82.42954,NA,6.2579,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:04:25,2025-02-23T19:04:25Z,2025-02-23T19:04:25Z,FlyBall,v3,3032,471251,NA,"Galloway, Jacob",805212,Right,TEX_AGG,54.18404,-116.78736,10.52565,5.58597,0.09976,-14.1188,1.78368,-2.87209,4.31231,203.110203,1.5455,81.15873,-19.93818,4.85028,-1.15388,0.27396,-0.05433,0.00673,-3.6e-4,2.65988,74.59268,-20.07453,1.47387,-0.03191,-0.09565,0.03337,-0.00479,2.6e-4,1.38268,23.69408,0.2543,0.0609,-0.00321,-0.01191,0.00502,-8.1e-4,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2025-02-23,13:07:12,"Marmie, Ethan",1000151830,Right,CAL_MUS,Undefined,Fastball,NA,NA,95.69145,-2.388962,-2.84727,2403.398183,234.896987,01:45:00,7.06359,1.62643,5.74278,-17.9669,12.68835,16.69588,3.33792,0.36444,87.74161,-5.750978,0.138553,0.398496,-9.22969,7.38658,-1.39963,50,6.85355,6.12719,-138.79691,-6.42213,-18.0731,29.96073,-17.71002,820201aa-89da-40b9-a29d-0dd4405b5d5f,NA,NA,NA,NA,NA,800606,"Grahovac, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TEX_AGG,1,Bottom,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_AGG,CAL_MUS,Olsen,D1,SEC,20250223-Olsen-1,b834ffc0-f219-11ef-88c8-dd7efee8918c,94.58673,NA,NA,7.94984,NA,NA,NA,568890e5-cdf8-40d9-8778-7ce146e961db,2025-02-23,19:07:12,2025-02-23T19:07:12Z,2025-02-23T19:07:12Z,NA,v3,3032,471251,NA,"Collins, Jack",1000228996,Right,CAL_MUS,54.7581,-139.82022,14.98036,7.06257,-5.81724,-8.85501,-1.61944,6.74448,-9.03655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
