PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:06:18,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,93.32305,-2.211974,-1.542197,2547.526529,209.788886,01:00:00,6.49184,0.56282,6.35765,-12.49418,19.158,10.36583,3.41318,0.00697,84.93163,-4.647069,0.33421,0.404924,-5.81166,10.91068,-0.45552,50,6.32533,3.20785,-135.4913,-5.53,-10.75666,30.80035,-11.97968,a84c713b-2065-4317-b3a7-073d875a933e,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,APP_MOU,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,abf03730-27a1-11f0-bd68-2b3d0c74fd30,93.08531,NA,NA,8.39142,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:06:18,2025-05-02T22:06:18Z,2025-05-02T22:06:18Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,54.13789,-136.4287,15.40017,6.48808,-5.1654,-5.98984,-0.55813,3.53523,-5.37833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,18:06:31,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,93.47707,-3.050443,-1.291361,2499.866696,205.524,12:45:00,6.33188,0.66457,6.76128,-12.99079,18.23584,8.1917,2.46006,0.16763,84.81811,-5.592783,0.20329,0.402192,-4.71469,10.89095,-0.58281,50,6.12683,2.73303,-135.68232,-7.51791,-8.70492,32.33788,-12.06558,e77a71be-791b-459a-98f9-ea35be20d1c4,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,APP_MOU,1,Top,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,b40dda30-27a1-11f0-bd68-2b3d0c74fd30,93.71742,NA,NA,8.65895,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:06:31,2025-05-02T22:06:31Z,2025-05-02T22:06:31Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,53.73439,-136.56946,16.16894,6.32854,-7.18691,-6.03279,-0.66107,2.97184,-4.35246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-02,18:06:45,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,94.67923,-1.395653,-0.26956,2475.672866,216.961905,01:15:00,6.37811,0.79656,6.26952,-12.30638,18.65198,13.24005,4.06571,1.65139,85.76791,-3.799313,2.123699,0.400461,-6.90603,10.39351,-0.78251,50,6.2686,0.0663,-137.49124,-3.64722,-13.09378,33.19323,-12.46809,2900c117-b87e-4774-81c2-45cdcec5101a,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,APP_MOU,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,bbfb1e60-27a1-11f0-bd68-2b3d0c74fd30,94.12261,NA,NA,8.91132,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:06:45,2025-05-02T22:06:45Z,2025-05-02T22:06:45Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,54.22555,-138.50762,16.59661,6.37444,-3.26544,-6.23404,-0.79067,0.46723,-6.54689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-02,18:07:08,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,93.88192,-3.242907,-2.15258,2484.740546,218.016284,01:15:00,6.34473,0.67202,6.50649,-10.19894,21.42958,15.8067,2.51343,0.01284,84.20037,-5.29457,0.715544,0.404772,-8.99292,12.65737,-0.528,50,6.11323,4.45249,-136.01776,-7.89244,-16.49985,35.57248,-8.95083,430cbb5e-0b4a-41b2-bc86-e97e6accfab5,NA,NA,NA,NA,-144.103229,1000192101,"Church, Braxton",3426.400945,NA,69.35039,Left,35.480529,-92.46088,36.58115,-59.58995,178.71149,52.97013,2.713019,-148.949767,1.23815,2.46403,-2.2e-4,NA,NA,NA,NA,NA,1,4,APP_MOU,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,ca244d40-27a1-11f0-bd68-2b3d0c74fd30,93.12007,37.68468,NA,9.68155,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:07:08,2025-05-02T22:07:08Z,2025-05-02T22:07:08Z,FlyBall,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,53.98884,-137.05699,17.78624,6.33998,-7.63095,-4.47542,-0.66512,4.93452,-8.24993,29.081626,1.23833,-67.10551,2.40678,0.52378,0.37771,-0.51123,0.27309,-0.06817,0.0065,2.464,59.03919,-28.13567,3.45214,-0.6638,0.09683,-0.01489,0.00508,-7.8e-4,-5e-5,-48.57277,7.31544,-1.33222,0.59516,-0.38563,0.18526,-0.04674,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-05-02,18:07:25,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,ChangeUp,NA,NA,83.80363,-3.174753,-1.705835,2223.873786,249.634778,02:15:00,6.07574,0.91175,6.35702,-31.70348,7.98166,17.67666,0.50766,0.8144,76.20678,-9.089669,1.501552,0.453404,-9.88804,5.57189,-0.79658,50,5.83074,2.98124,-121.53,-7.67078,-14.55207,27.36599,-23.97399,7d96b040-e576-4c98-af58-816557004ee2,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,APP_MOU,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,d41e5160-27a1-11f0-bd68-2b3d0c74fd30,83.1321,NA,NA,7.59685,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:07:25,2025-05-02T22:07:25Z,2025-05-02T22:07:25Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,54.14139,-122.459,13.683,6.07733,-6.85693,-11.987,-0.90617,3.47525,-7.27603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-02,18:07:37,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,ChangeUp,NA,NA,85.3459,-0.590027,-1.986862,2386.367676,221.245295,01:15:00,6.09933,0.88351,6.3156,-21.04304,17.26048,13.91265,3.80195,0.21215,76.8482,-4.633013,0.529179,0.445442,-7.79252,9.54319,-0.74399,50,6.04599,3.73775,-123.80213,-1.82425,-11.90289,28.3617,-17.59702,b426aee7-4d93-4dab-88e3-a78b8d2d1bbd,NA,NA,NA,NA,NA,1000192101,"Church, Braxton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,APP_MOU,1,Top,0,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,db7b1560-27a1-11f0-bd68-2b3d0c74fd30,84.61815,NA,NA,8.4977,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:07:37,2025-05-02T22:07:37Z,2025-05-02T22:07:37Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,54.17741,-124.75546,14.18085,6.09737,-1.23276,-8.79851,-0.87635,4.13784,-5.95145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-02,18:07:52,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,94.80938,-2.973142,-1.234072,2409.911378,212.290473,01:00:00,6.40975,0.49247,6.42464,-10.49268,20.39395,12.18304,2.79949,0.37324,85.5608,-5.057746,0.974352,0.399997,-6.79229,11.957090000000001,-0.40991,50,6.19289,2.45633,-137.52631,-7.36449,-12.81666,34.69714,-9.61176,4ab3a063-4e74-41b2-ad3d-d2ead8325fcd,NA,NA,NA,NA,-55.283169,1000192101,"Church, Braxton",4669.555757,NA,80.01518,Left,72.570383,NA,NA,NA,NA,42.003660000000004,NA,NA,1.58567,2.78356,-0.61825,NA,NA,NA,NA,NA,1,7,APP_MOU,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,e45810c0-27a1-11f0-bd68-2b3d0c74fd30,94.23182,105.70267,NA,9.24859,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:07:52,2025-05-02T22:07:52Z,2025-05-02T22:07:52Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,54.07211,-138.54987,17.34857,6.40596,-7.08094,-4.80588,-0.48795,2.83441,-6.40833,NA,1.58568,20.01713,-11.84482,3.25793,1.06478,-3.05543,2.87364,-1.33112,0.24579,2.78357,111.96676,-30.13822,3.90946,-0.65112,-0.04419,0.14053,-0.07138,0.01303,-0.61825,-28.89536,-1.35883,0.84419,0.66399,-1.58739,1.47899,-0.68477,0.12662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
8,2025-05-02,18:08:14,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,94.79232,-2.668606,-1.334951,2435.926436,216.152066,01:15:00,6.28226,0.55975,6.63673,-12.533,17.92592,12.33709,2.79243,0.36553,86.05959,-5.118816,0.910729,0.397218,-6.95433,10.59347,-0.4744,50,6.09658,2.71851,-137.66245,-6.71546,-13.22291,33.17458,-12.03169,c072135e-e112-4314-a414-fdb667318676,NA,NA,NA,NA,-102.841175,1000192101,"Church, Braxton",6243.507488,NA,75.97178,Left,57.187979,NA,NA,NA,NA,13.65503,NA,NA,1.17489,2.72321,-0.31995,NA,NA,NA,NA,NA,1,8,APP_MOU,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,f1924bc0-27a1-11f0-bd68-2b3d0c74fd30,94.89114,22.38757,NA,8.73273,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:08:14,2025-05-02T22:08:14Z,2025-05-02T22:08:14Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,53.86114,-138.5898,16.58729,6.2796,-6.37913,-6.01584,-0.55556,3.08814,-6.61145,25.82981,1.17556,-13.4591,-5.37219,NA,NA,NA,NA,NA,NA,2.72362,93.62345,-22.3926,NA,NA,NA,NA,NA,NA,-0.31941,-58.90227,-2.31145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
9,2025-05-02,18:08:33,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,94.95942,-2.966252,-1.008132,2545.770942,197.641385,12:30:00,6.41261,0.51265,6.50071,-10.68623,19.47568,5.90036,2.79672,0.07896,87.19676,-5.052822,0.063007,0.395276,-3.39299,11.33493,-0.44474,50,6.20024,2.19378,-137.99961,-7.40261,-6.56779,29.62133,-10.2331,cced3155-7ae5-431d-a059-ab6885ec9bf7,NA,NA,NA,NA,3.637288,1000192101,"Church, Braxton",2026.461934,NA,88.61524,Left,19.752531,109.99691,33.80795,0.81274,272.90052,272.90052,3.466098,-5.280226,1.59726,2.93748,-0.04302,NA,NA,NA,NA,NA,1,9,APP_MOU,1,Top,0,3,2,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,fcbe1920-27a1-11f0-bd68-2b3d0c74fd30,95.35716,38.32079,NA,7.76267,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:08:33,2025-05-02T22:08:33Z,2025-05-02T22:08:33Z,LineDrive,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,53.99832,-138.85519,14.81067,6.40978,-7.10703,-5.11655,-0.51084,2.38348,-3.28389,144.269126,1.59729,122.07406,-22.42318,4.87454,-1.02265,0.19778,-0.03126,0.00322,-1.5e-4,2.93772,43.91635,-14.34365,0.4063,0.08091,-0.05455,0.01244,-8.9e-4,-2e-5,-0.04318,7.76516,-8.48446,2.29682,-0.61457,0.15441,-0.02943,0.00335,-1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-05-02,18:09:20,"Morrison, Jacob",1000092154,Right,COA_CHA,Undefined,Fastball,NA,NA,93.81454,-4.167409,-1.430762,2450.874617,207.109534,01:00:00,6.40683,0.68496,6.56199,-7.46914,24.15604,11.74583,1.95595,0.35185,84.21671,-5.721457,0.703029,0.404751,-6.63044,14.41013,-0.59093,50,6.11574,2.9064,-135.84414,-9.96536,-12.14468,35.24913,-5.77975,82b4bfbd-a227-40ba-bc0a-3b1251b8e5a9,NA,NA,NA,NA,NA,1000128701,"Zamora, Joseph",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,APP_MOU,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,COA_CHA,APP_MOU,SpringsBrooksStadium,D1,SBELT,20250502-SpringsBrooksStadium-1,18c0a930-27a2-11f0-bd68-2b3d0c74fd30,93.12504,NA,NA,9.59783,NA,NA,NA,3dc5c0b4-c785-470b-bb5e-34df1c0e9804,2025-05-02,22:09:20,2025-05-02T22:09:20Z,2025-05-02T22:09:20Z,NA,v3,4104,471230,02 May 2025 18:00-appalst@coastcar,"Bodine, Caden",805207,Right,COA_CHA,53.93305,-136.86089,17.62457,6.40078,-9.79865,-2.88988,-0.67982,3.25671,-6.07234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
