PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,17:35:57,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Fastball,NA,NA,93.97524,-4.263562,0.401944,1915.071894,227.695814,01:30:00,5.99,0.62424,5.74856,-18.31158,13.74694,13.94009,0.48733,2.16012,85.93281,-7.672743,2.898884,0.407515,-6.96933,8.55949,-0.66613,50,5.62424,-1.58828,-136.09956,-10.76263,-13.01956,30.99069,-16.18392,101231f4-1fb5-4a28-9cc0-f81199934145,NA,NA,NA,NA,NA,702563,"Neville, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ORE_DUC,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,15f6c1b0-255b-11f0-ad24-07a119ea8b6e,92.49346,NA,NA,8.04243,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:35:57,2025-04-30T00:35:57Z,2025-04-30T00:35:57Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.74897,-137.17667,15.49534,5.98853,-10.20014,-8.09196,-0.61879,-1.13577,-6.50978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,17:36:14,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,ChangeUp,NA,NA,88.8301,-3.059982,-1.568952,1413.776408,261.627946,02:45:00,5.88263,0.77572,5.86394,-31.12821,4.43398,22.44391,0.44224,1.18818,81.64993,-8.773716,2.466451,0.429206,-11.9643,3.48307,-0.66175,50,5.61627,2.59463,-128.89417,-7.97951,-20.07432,27.45395,-26.32994,3cef981d-1540-4fcc-97e5-7ef4c8db4eed,NA,NA,NA,NA,NA,702563,"Neville, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ORE_DUC,1,Top,0,1,0,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,1fcb3c70-255b-11f0-ad24-07a119ea8b6e,87.81905,NA,NA,7.18017,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:36:14,2025-04-30T00:36:14Z,2025-04-30T00:36:14Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.63655,-129.87798,13.72697,5.88531,-7.03597,-13.16497,-0.76761,3.314,-10.03716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-29,17:36:30,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Fastball,NA,NA,94.31688,-4.471079,0.049814,1920.547887,212.115345,01:00:00,5.98473,0.69717,5.78428,-10.34111,21.73033,12.90599,0.95483,1.81901,85.25744,-6.494535,2.361102,0.407597,-6.49996,12.77375,-0.7088,50,5.6093,-0.72196,-136.42071,-10.89944,-12.09656,33.50462,-8.40196,a423c0f4-ee1b-42b5-bf8a-365ca8b22501,NA,NA,NA,NA,NA,702563,"Neville, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ORE_DUC,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,29cd56e0-255b-11f0-ad24-07a119ea8b6e,92.47484,NA,NA,9.05943,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:36:30,2025-04-30T00:36:30Z,2025-04-30T00:36:30Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.71081,-137.57281,16.75231,5.97913,-10.61053,-4.20098,-0.69112,-0.30601,-6.04828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-29,17:36:47,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Fastball,NA,NA,93.33624,-1.948205,-0.242513,1928.029241,215.642571,01:15:00,6.00106,0.77272,5.78808,-11.87953,20.87379,14.09446,3.198,1.72165,83.8371,-4.278233,2.281982,0.411907,-7.17886,11.57284,-0.76088,50,5.83347,-0.08738,-135.25245,-4.88544,-13.06253,34.37119,-11.1163,7d281b91-b797-48a3-812c-303b82be65a5,NA,NA,NA,NA,NA,702563,"Neville, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ORE_DUC,1,Top,0,3,0,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,340dd9e0-255b-11f0-ad24-07a119ea8b6e,91.50717,NA,NA,9.49914,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:36:47,2025-04-30T00:36:47Z,2025-04-30T00:36:47Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.70581,-136.44308,17.18559,5.99604,-4.50037,-5.55815,-0.76569,0.36511,-6.53127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-29,17:37:21,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Slider,NA,NA,87.96266,-1.895803,-2.888426,2293.829842,71.905448,08:30:00,6.1154,0.79138,5.68793,-36.79266,0.03343,-3.71236,1.27951,-2.21237,80.25489,-8.624232,-3.552087,0.436766,0.99169,0.99098,-0.54595,50,5.93291,6.58919,-127.43374,-5.56412,1.61358,28.75721,-30.5616,e4e2cbe5-245b-49fc-9cf6-f87c159d4eae,NA,NA,NA,NA,NA,702626,"Hellman, Dominic",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ORE_DUC,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,47d57af0-255b-11f0-ad24-07a119ea8b6e,86.29886,NA,NA,7.70777,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:37:21,2025-04-30T00:37:21Z,2025-04-30T00:37:21Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.80928,-128.51444,14.37861,6.12043,-4.41561,-15.2808,-0.79243,6.52855,0.80679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-29,17:38:17,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Slider,NA,NA,83.15361,0.324803,-0.426259,2205.094775,59.292128,08:00:00,6.13662,0.71556,5.42637,-42.34408,-1.2937,-4.30839,2.91217,-0.04272,76.39398,-7.396728,-1.19394,0.461137,2.05351,-0.36579,-0.67467,50,6.13591,1.07715,-120.77791,-0.83848,3.03391,23.47736,-32.71449,1f935e13-1889-420d-bde5-6171fd3028a8,NA,NA,NA,NA,NA,702626,"Hellman, Dominic",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ORE_DUC,1,Top,0,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,693a1070-255b-11f0-ad24-07a119ea8b6e,81.73805,NA,NA,6.75963,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:38:17,2025-04-30T00:38:17Z,2025-04-30T00:38:17Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,55.07291,-121.76002,11.73868,6.14236,0.53003,-16.35724,-0.71707,0.95024,1.51696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-29,17:38:49,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Slider,NA,NA,84.17052,0.00268,-1.071003,2267.169191,102.070341,09:30:00,6.21497,0.56419,5.52619,-38.99518,1.64847,-0.77264,2.96788,-0.50155,75.9542,-7.177141,-1.20888,0.458847,0.03409,1.29843,-0.47057,50,6.1896,2.31358,-121.98459,-1.38106,0.05045,27.98312,-30.25247,057c277e-cc2b-41a9-97f9-0a9cb9cf48e5,NA,NA,NA,NA,NA,702626,"Hellman, Dominic",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ORE_DUC,1,Top,0,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,7c846b30-255b-11f0-ad24-07a119ea8b6e,82.14603,NA,NA,8.21632,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:38:49,2025-04-30T00:38:49Z,2025-04-30T00:38:49Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.96887,-123.11917,13.99156,6.22073,-0.15448,-15.12623,-0.56433,2.31153,0.02522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-29,17:39:08,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Slider,NA,NA,85.67058,-0.981009,-2.253348,2277.528115,60.334278,08:00:00,6.09987,0.65463,5.5834,-40.01904,-1.56055,-4.77642,1.84803,-1.8488,79.01192,-8.267817,-3.106214,0.446342,1.80658,-0.17138,-0.45774,50,5.9893,5.09297,-124.37524,-3.58191,2.83401,24.60102,-32.44287,a980e4ab-57ac-48c5-85ab-459df8801659,NA,NA,NA,NA,NA,702626,"Hellman, Dominic",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ORE_DUC,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,881e63b0-255b-11f0-ad24-07a119ea8b6e,84.4475,NA,NA,6.65866,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:39:08,2025-04-30T00:39:08Z,2025-04-30T00:39:08Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.91615,-125.34386,12.30051,6.10519,-2.30452,-16.22143,-0.65607,4.98138,1.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-29,17:40:33,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Curveball,NA,NA,82.39547,0.308381,-0.011852,2487.565887,31.9984,07:00:00,6.2007,0.6431,5.53575,-55.3922,-12.93985,-9.04689,1.87292,-0.12189,74.64725,-9.776139,-1.63071,0.468945,4.59036,-6.2689,-0.6358,50,6.19036,0.3929,-119.52546,-1.35158,6.49585,27.71914,-41.04523,8bd219fe-b5e6-486d-a1e4-457e5c51f16e,NA,NA,NA,NA,NA,701862,"Walsh, Jacob",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ORE_DUC,1,Top,1,0,0,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,1,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,ba6ad2e0-255b-11f0-ad24-07a119ea8b6e,80.37704,NA,NA,7.74822,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:40:33,2025-04-30T00:40:33Z,2025-04-30T00:40:33Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.96442,-120.67126,13.85957,6.21116,0.34508,-20.52262,-0.64649,0.12438,3.24793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-29,17:40:55,"Queen, Wyatt",829591,Right,ORE_BEA,Undefined,Slider,NA,NA,86.89509,-1.342826,-0.274035,2312.035945,71.778472,08:30:00,6.13952,0.77499,5.73154,-37.90919,-0.07283,-4.39016,1.72964,0.15395,78.62958,-8.318032,-1.061506,0.442717,2.15429,0.77701,-0.74938,50,6.00436,0.78639,-126.0083,-4.29985,3.39863,30.09227,-30.94824,07ce65e3-e36c-4dc6-9a1e-b0ae24245923,NA,NA,NA,NA,NA,701862,"Walsh, Jacob",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ORE_DUC,1,Top,2,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_BEA,ORE_DUC,GossStadium,D1,PAC12,20250429-GossStadium-1,c743db10-255b-11f0-ad24-07a119ea8b6e,85.13892,NA,NA,8.26551,NA,NA,NA,7c1afdfe-37cb-4682-b740-e636e14c0fc7,2025-04-30,00:40:55,2025-04-30T00:40:55Z,2025-04-30T00:40:55Z,NA,v3,471404,4807,29 April 2025 20:35-oregon@oregonst,"Weber, Wilson",701777,Right,ORE_BEA,54.7659,-127.14136,15.04614,6.14433,-3.13456,-15.47412,-0.77658,0.65843,1.69931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
