PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-25,18:06:43,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Curveball,NA,NA,74.16846,2.46118,0.727745,2424.118852,43.10707,07:30:00,5.60157,1.14991,5.16161,-65.32212,-12.50473,-13.39753,2.47622,0.71846,67.54687,-9.364977,-1.648708,0.52307,6.90961,-6.50213,-1.20699,50,5.78087,-0.84925,-107.52431,2.39848,7.98293,20.93129,-39.68621,058c10bc-c580-458e-ac5f-32c6554f2fc4,NA,NA,NA,NA,NA,805022,"Esquer, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAN_GAU,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,b8775040-223a-11f0-8e3e-21d7f72bf9a0,72.06001,NA,NA,6.6216,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:06:43,2025-04-26T01:06:43Z,2025-04-26T01:06:43Z,NA,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,55.34116,-108.55907,10.46564,5.61381,4.36041,-19.8431,-1.15526,-1.24389,3.99147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-25,18:06:58,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Fastball,NA,NA,90.72189,-1.8592,-2.171329,2467.546363,207.774384,01:00:00,5.67885,1.09085,5.69754,-15.33213,19.00414,9.41083,2.66676,-0.14931,82.61005,-4.784581,-0.48979,0.421743,-5.43233,10.55008,-0.91458,50,5.51334,4.5795,-131.5914,-4.73122,-9.49243,28.82453,-13.73882,4270e46f-8ddb-492f-b1bb-297895329675,NA,NA,NA,NA,115.022175,805022,"Esquer, Xavier",1831.458319,NA,72.26619,Right,70.948754,NA,NA,NA,NA,8.10387,NA,NA,1.12266,2.484,0.08846,NA,NA,NA,NA,NA,1,2,SAN_GAU,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,c121f100-223a-11f0-8e3e-21d7f72bf9a0,89.37299,25.98314,NA,8.11184,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:06:58,2025-04-26T01:06:58Z,2025-04-26T01:06:58Z,NA,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.80167,-132.63902,14.41227,5.67622,-4.23189,-6.86941,-1.08729,4.92449,-4.74621,339.420529,1.12602,-14.80963,-6.69122,NA,NA,NA,NA,NA,NA,2.48879,99.93531,-31.77797,NA,NA,NA,NA,NA,NA,0.09125,31.2043,-9.00897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-04-25,18:07:19,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Fastball,NA,NA,89.96185,-2.973919,-2.825753,2373.104859,205.025389,12:45:00,5.49377,1.0175399999999999,5.72339,-18.47288,16.33154,7.108,1.1785,-1.02426,82.47433,-6.438809,-1.555703,0.424608,-4.41843,9.47859,-0.786,50,5.2337,6.13445,-130.39347,-7.37201,-7.6196,26.9951,-15.82814,86ed8298-e60c-47c4-ad8d-619bf7c7be0e,NA,NA,NA,NA,NA,805022,"Esquer, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SAN_GAU,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,cde37990-223a-11f0-8e3e-21d7f72bf9a0,88.76989,NA,NA,7.48752,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:07:19,2025-04-26T01:07:19Z,2025-04-26T01:07:19Z,NA,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.77669,-131.37865,13.49755,5.4922,-6.79436,-7.91407,-1.01495,6.41253,-3.8098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-25,18:07:35,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Slider,NA,NA,83.02692,-0.343581,-2.021024,2363.125455,28.165424,07:00:00,5.49192,0.9624,5.26212,-46.37837,-5.05662,-3.35693,1.30407,-1.21685,76.80745,-8.721156,-2.617266,0.462659,1.15768,-2.16114,-0.77468,50,5.42558,4.39269,-120.57784,-2.42995,1.71067,22.62932,-35.36756,d7c952a7-f058-4057-9532-798740d45fab,NA,NA,NA,NA,NA,805022,"Esquer, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SAN_GAU,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,d778a160-223a-11f0-8e3e-21d7f72bf9a0,81.469220000000007,NA,NA,6.21948,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:07:35,2025-04-26T01:07:35Z,2025-04-26T01:07:35Z,NA,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,55.24042,-121.55735,11.31466,5.49763,-0.89906,-17.68378,-0.96321,4.31865,0.85533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-25,18:07:52,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Fastball,NA,NA,91.30489,-2.248209,-2.032785,2383.193805,202.664066,12:45:00,5.50026,0.9489,5.78213,-15.91418,17.84343,6.99048,2.07994,-0.36067,83.30679,-5.272184,-0.781528,0.418174,-4.16166,10.08575,-0.78554,50,5.30525,4.39896,-132.44998,-5.68577,-7.37677,28.86276,-14.29651,254e1413-4920-4e55-b4f5-85689cc25f30,NA,NA,NA,NA,0.474545,805022,"Esquer, Xavier",3488.856955,NA,102.81568,Right,10.024154,109.96224,11.38376,2.88177,196.47505,154.15666,1.613565,2.147307,1.08571,2.06844,0.36809,NA,NA,NA,NA,NA,1,5,SAN_GAU,1,Top,0,2,2,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,e1505070-223a-11f0-8e3e-21d7f72bf9a0,90.13573,11.47679,NA,7.9981,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:07:52,2025-04-26T01:07:52Z,2025-04-26T01:07:52Z,LineDrive,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.7172,-133.47397,14.43138,5.49798,-5.17856,-7.14826,-0.94625,4.66067,-3.68839,263.541428,1.08571,148.48899,-22.12417,4.33898,-1.00009,0.22563,-0.04885,0.0083,-7.4e-4,2.06844,26.24806,-19.67414,2.189,-0.49553,0.11886,-0.02476,0.0042,-3.9e-4,0.36809,1.22987,2.69253,-0.66011,0.15612,-0.03545,0.00748,-0.00125,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-04-25,18:08:29,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Fastball,NA,NA,89.94757,-3.058729,-3.201453,2389.781449,207.629049,01:00:00,5.53541,0.86969,5.74402,-15.37194,19.48088,9.60552,1.39935,-1.31374,82.26732,-5.980359,-1.485829,0.424904,-5.78922,11.11607,-0.60931,50,5.27126,6.8759,-130.2999,-7.42396,-9.96089,27.1729,-13.04786,6b42e111-322f-488d-ad12-66abae28e3e3,NA,NA,NA,NA,NA,701742,"McCollum, LeTrey",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAN_GAU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,f7b5a6d0-223a-11f0-8e3e-21d7f72bf9a0,88.70821,NA,NA,7.68025,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:08:29,2025-04-26T01:08:29Z,2025-04-26T01:08:29Z,NA,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.75538,-131.28784,13.58645,5.53256,-6.94957,-6.52393,-0.86589,7.23805,-4.98045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-25,18:08:50,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Fastball,NA,NA,90.3965,-3.545593,-3.232676,2476.632511,210.778054,01:00:00,5.52385,0.93619,5.75895,-16.34706,18.22781,10.17713,0.85183,-1.22792,82.61496,-6.637812,-1.414124,0.423206,-6.13335,10.65119,-0.67446,50,5.21945,6.95856,-130.87764,-8.61902,-10.62624,27.9119,-13.72052,fcdd470e-e68f-455c-989c-49d5472b0df8,NA,NA,NA,NA,NA,701742,"McCollum, LeTrey",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SAN_GAU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,04457100-223b-11f0-8e3e-21d7f72bf9a0,89.06411,NA,NA,7.78154,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:08:50,2025-04-26T01:08:50Z,2025-04-26T01:08:50Z,NA,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.74102,-131.88486,13.95595,5.52154,-8.1239,-6.86026,-0.93249,7.34202,-5.31312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-25,18:09:12,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Curveball,NA,NA,76.69977,2.284951,-1.147923,2578.962677,50.226174,07:45:00,5.55893,1.08371,5.21015,-59.79539,-10.75245,-14.81536,2.7263,-1.23054,70.1948,-8.538635,-3.774681,0.504034,7.10441,-5.68733,-0.96572,50,5.72462,2.80529,-111.26349,2.36969,8.83653,21.4126,-39.24801,f315d6c1-e160-40fd-b682-faa85843b77d,NA,NA,NA,NA,-20.673641,701742,"McCollum, LeTrey",NA,NA,57.96256,Right,-55.432864,NA,NA,NA,4.28507,3.18197,0.040813,6.682633,2.40272,2.87483,1.19796,NA,NA,NA,NA,NA,2,3,SAN_GAU,1,Top,0,2,0,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,10d86f80-223b-11f0-8e3e-21d7f72bf9a0,74.78157,2.87483,NA,6.50497,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:09:12,2025-04-26T01:09:12Z,2025-04-26T01:09:12Z,GroundBall,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,55.29321,-112.27755,10.7063,5.56838,4.22839,-19.62401,-1.08866,2.38681,4.41826,NA,2.40088,45.4076,NA,NA,NA,NA,NA,NA,NA,2.87769,-70.43869,NA,NA,NA,NA,NA,NA,NA,1.19865,-17.13423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-04-25,18:09:49,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Fastball,NA,NA,90.62459,-1.948528,-1.226779,2475.01368,194.064483,12:30:00,5.63698,1.16918,5.66205,-15.31276,19.27399,4.53079,2.54279,0.4026,82.19817,-4.876994,-0.417231,0.423279,-2.67386,10.72595,-1.06838,50,5.46276,2.61424,-131.42015,-4.92296,-4.63893,29.92824,-13.56528,3a1423ef-548c-44e1-b139-3ae7f435ae66,NA,NA,NA,NA,-67.934338,1000364960,"Kosciusko, Cole",4373.629882,NA,75.29791,Left,41.606536,27.5593,58.36333,-106.4917,209.15273,70.58097,3.528395,-81.226141,0.75423,2.35584,-0.31592,NA,NA,NA,NA,NA,3,1,SAN_GAU,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,2736e810-223b-11f0-8e3e-21d7f72bf9a0,89.04878,58.36297,NA,8.42642,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:09:49,2025-04-26T01:09:49Z,2025-04-26T01:09:49Z,FlyBall,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.83583,-132.51683,14.96412,5.63405,-4.42588,-6.78264,-1.16729,2.78423,-2.31946,NA,0.75394,31.03176,-13.31905,3.81368,-1.07966,0.31998,-0.07312,0.00988,-5.8e-4,2.3562,73.31835,-28.48027,3.64374,-0.56477,0.00975,0.01994,-0.00464,3.6e-4,-0.31559,-76.53992,11.18703,-3.3911,1.02703,-0.32272,0.07659,-0.0106,6.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2025-04-25,18:10:14,"Dalquist, Matthew",801574,Right,CSD_TRI,Undefined,Fastball,NA,NA,90.26719,-2.884222,-1.177629,2431.64628,212.411936,01:00:00,5.58552,1.17012,5.7743,-17.23347,17.22729,10.23993,1.46266,0.92746,82.68662,-6.133476,0.656736,0.422507,-5.57315,9.92886,-1.07922,50,5.33674,2.25555,-130.97425,-7.13379,-9.68721,27.49166,-14.91582,62e51643-3e3a-4082-ba55-01edc287f815,NA,NA,NA,NA,NA,1000364960,"Kosciusko, Cole",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SAN_GAU,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSD_TRI,SAN_GAU,UCSanDiego,D1,BW,20250425-UCSanDiego-1,36526630-223b-11f0-8e3e-21d7f72bf9a0,89.2114,NA,NA,7.58057,NA,NA,NA,4e136095-06a8-4208-94ca-0c9968e92b51,2025-04-26,01:10:14,2025-04-26T01:10:14Z,2025-04-26T01:10:14Z,NA,v3,NA,471258,NA,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,54.72548,-131.9624,13.74583,5.58352,-6.59765,-7.45791,-1.16655,2.60375,-4.84361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
