PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,14:00:14,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Fastball,NA,NA,81.29594,-0.23419,1.067448,2642.702023,176.34983,12:00:00,5.78394,-2.26509,5.81536,-34.84289,7.99099,-0.41476,2.66256,-1.30695,73.76799,-6.709678,0.993068,0.471048,0.54244,4.61024,2.17786,50,5.74435,-2.18092,-117.93415,-1.5884,0.75529,24.811889999999998,-25.755,84a069dd-62ed-4778-9712-d11cfb05e132,NA,NA,NA,NA,NA,1000214025,"McLean, Lane",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MOU_OLV,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,6a93e930-f218-11ef-9acd-1f7a1cc8d303,80.01824,NA,NA,7.52796,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:00:14,2025-02-23T19:00:14Z,2025-02-23T19:00:14Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.68339,-118.91539,12.40595,5.78702,-0.56986,-12.8775,2.2647,-2.21079,0.37764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,14:00:28,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Slider,NA,NA,71.50114,1.198617,0.029275,2674.660075,277.567402,03:15:00,5.70103,-2.17273,5.64962,-55.43294,-0.66878,16.903,2.19981,-0.73684,66.35463,-8.914806,3.053763,0.532623,-8.66615,-0.26646,2.15889,50,5.7668,-0.62233,-103.97228,0.5357,-9.53442,16.6059,-32.4672,eaf6e9dd-a156-4ddb-bad4-cc76a15ce02d,NA,NA,NA,NA,56.545564,1000214025,"McLean, Lane",5745.713513,NA,50.7017,Right,41.893696,NA,NA,NA,120.64973,87.81815,2.647287,65.197183,2.59178,2.38692,0.80159,NA,NA,NA,NA,NA,1,2,MOU_OLV,1,Top,0,0,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,72a94ed0-f218-11ef-9acd-1f7a1cc8d303,70.76763,32.12643,NA,5.14651,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:00:28,2025-02-23T19:00:28Z,2025-02-23T19:00:28Z,Popup,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.85626,-104.74503,8.30295,5.70672,2.04654,-16.2336,2.17753,-0.17865,-4.76721,241.932379,2.5916,30.52575,-8.00202,2.49703,-1.16797,0.73829,-0.36517,0.09597,-0.00971,2.38687,49.65764,-23.02296,2.37188,-0.51471,0.12117,-0.03216,0.00473,-9e-5,0.80159,46.18404,-0.82298,-0.83398,0.30539,-0.07209,0.01942,-0.00931,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
3,2025-02-23,14:00:49,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Fastball,NA,NA,83.5877,-0.446182,1.111272,2652.041624,189.977934,12:15:00,5.70915,-2.1622,5.88929,-29.79191,9.54343,1.49626,2.81209,-1.00548,77.78442,-5.948469,1.379867,0.451401,-0.51634,5.31378,2.07168,50,5.65569,-2.41625,-121.63874,-1.89865,-0.78614,20.23409,-24.0836,5fdb1e7a-4ec3-474b-8d10-4e575a384295,NA,NA,NA,NA,-2.200471,1000214025,"McLean, Lane",5087.41041,NA,84.5349,Right,38.545418,109.95416,80.10632,3.16815,267.09201,266.70599,5.233536,4.936477,1.76035,2.89419,1.02218,NA,NA,NA,NA,NA,1,3,MOU_OLV,1,Top,0,0,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,7f9801e0-f218-11ef-9acd-1f7a1cc8d303,83.50094,94.28685,NA,5.80328,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:00:49,2025-02-23T19:00:49Z,2025-02-23T19:00:49Z,FlyBall,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.61496,-122.40401,10.11705,5.71028,-0.98779,-12.0418,2.1625,-2.38652,-0.39307,196.588711,1.76537,96.79564,-21.73053,4.75609,-0.54661,-0.04435,0.02576,-0.0033,1.4e-4,2.89194,77.2969,-18.12283,0.94406,-0.08624,-0.02448,0.01631,-0.00301,1.8e-4,1.02082,-3.69269,5.41009,-1.67973,0.27187,-0.00324,-0.00724,0.00115,-6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-02-23,14:01:20,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Fastball,NA,NA,80.49091,0.104026,1.301006,2644.08002,210.091504,01:00:00,5.82647,-2.04507,5.7592,-36.74167,6.14154,2.86181,2.86152,-0.59533,74.57074,-6.651739,1.813525,0.471319,-1.14579,3.45394,1.93537,50,5.81244,-2.76555,-117.04183,-0.96497,-1.60529,20.02155,-27.33505,50b5bfc3-5fce-4f39-937c-69418a9a4350,NA,NA,NA,NA,NA,1000277094,"Crawford, Kayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MOU_OLV,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,9209d6f0-f218-11ef-9acd-1f7a1cc8d303,79.9722,NA,NA,5.92017,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:01:20,2025-02-23T19:01:20Z,2025-02-23T19:01:20Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.74451,-117.85065,10.01077,5.82912,0.13929,-13.66753,2.04578,-2.7007,-0.80264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,14:01:37,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Fastball,NA,NA,82.03771,-0.186578,3.19611,2730.071549,204.521031,12:45:00,5.7144,-2.0474,5.80205,-33.57899,8.00811,3.08354,2.74234,1.18537,75.51741,-6.382936,3.747209,0.464142,-0.71508,4.53914,1.78269,50,5.67904,-6.76849,-119.03287,-1.46947,-1.03,22.00173,-25.6358,7cd2a467-d85a-46cc-9d1f-45e45d8eab0d,NA,NA,NA,NA,NA,1000277094,"Crawford, Kayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MOU_OLV,1,Top,1,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,9c0b5520-f218-11ef-9acd-1f7a1cc8d303,81.20888,NA,NA,6.5203,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:01:37,2025-02-23T19:01:37Z,2025-02-23T19:01:37Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.69891,-119.89826,11.00087,5.71701,-0.46114,-12.8179,2.04812,-6.72798,-0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,14:01:54,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Slider,NA,NA,75.15047,0.770158,0.070095,2797.185325,295.224666,03:45:00,5.75998,-1.88374,5.59698,-56.43594,-5.86819,16.13119,1.77612,-0.47403,68.59554,-9.536206,2.956392,0.511809,-8.24634,-2.85189,1.86661,50,5.78885,-0.71506,-109.09774,-0.31858,-9.7943,21.79707,-35.561279999999996,2057f8c4-26e2-4396-90f6-86a7c10956e4,NA,NA,NA,NA,NA,1000277094,"Crawford, Kayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MOU_OLV,1,Top,1,0,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,a63a4bf0-f218-11ef-9acd-1f7a1cc8d303,73.64547,NA,NA,6.55493,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:01:54,2025-02-23T19:01:54Z,2025-02-23T19:01:54Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.90785,-110.07393,10.89853,5.76745,1.27405,-17.780639999999998,1.88881,-0.27642,-4.89715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.35018,NA,NA,1.568262,NA,NA,NA,-4.70735,5.49521,-0.17217,70.95236,12.19002,53.93991,-4.52882,52.8175,-2.96894,5.64392,26.3443,-14.11391,-0.01725,38.32426,-2.48153,High,High,High,NA,NA,High,Medium,High
7,2025-02-23,14:02:21,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Slider,NA,NA,73.18578,2.623484,-1.927233,2738.388718,290.784858,03:45:00,5.76026,-2.06983,5.66918,-57.97074,-4.54894,16.97635,3.37865,-2.45281,66.26212,-8.030056,1.107363,0.526054,-9.15123,-2.50595,2.22209,50,5.94618,2.94023,-106.04212,3.05837,-10.26194,20.7027,-34.98414,dbeb11a3-82a9-4869-ac93-9bebc9d5c420,NA,NA,NA,NA,NA,10011512,"Howard, Jon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MOU_OLV,1,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,b67b5e50-f218-11ef-9acd-1f7a1cc8d303,71.65122,NA,NA,6.92366,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:02:21,2025-02-23T19:02:21Z,2025-02-23T19:02:21Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.8329,-106.98149,10.35135,5.77139,4.64575,-17.49207,2.07812,3.40586,-5.13097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,14:02:35,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Slider,NA,NA,71.42515,0.661118,1.558339,2658.903493,281.405438,03:30:00,5.69991,-2.07821,5.73315,-57.69491,-1.67787,18.16155,1.50796,0.8869,65.07681,-9.913491,4.811157,0.538681,-8.76465,-0.53906,1.93679,50,5.71969,-3.44265,-103.60034,-0.49445,-9.34026,20.45027,-32.74852,462c96b1-d06d-4318-b6cd-58f2bd4f452f,NA,NA,NA,NA,NA,10011512,"Howard, Jon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MOU_OLV,1,Top,2,1,0,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,be59fc80-f218-11ef-9acd-1f7a1cc8d303,69.97176,NA,NA,6.34834,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:02:35,2025-02-23T19:02:35Z,2025-02-23T19:02:35Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.76972,-104.53762,10.22513,5.70795,1.00649,-16.37426,2.08477,-3.01457,-4.67013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,14:02:50,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Fastball,NA,NA,82.40254,-1.367946,1.976032,2763.483754,223.013025,01:30:00,5.70498,-2.2743,5.79468,-33.61892,7.95115,6.13492,1.6299,0.07584,75.32633,-7.578744,3.075105,0.464047,-2.54835,4.87449,2.1079,50,5.57226,-4.36566,-119.54123,-3.93815,-3.66299,24.47581,-25.1675,c1aec137-9969-451d-8329-8ed572549a0b,NA,NA,NA,NA,NA,10011512,"Howard, Jon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,MOU_OLV,1,Top,2,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,c7840670-f218-11ef-9acd-1f7a1cc8d303,81.22552,NA,NA,7.07621,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:02:50,2025-02-23T19:02:50Z,2025-02-23T19:02:50Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.70626,-120.50097,12.2379,5.70733,-2.95128,-12.58375,2.27627,-4.22203,-1.8315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,14:03:07,"Arvantides, Lukas",1000158728,Left,SOU_WES1,Undefined,Fastball,NA,NA,83.31292,-0.335478,0.264865,2870.604377,223.030269,01:30:00,5.67094,-2.20507,5.91923,-32.06695,7.96977,6.30878,2.68735,-1.43353,76.62332,-6.279574,1.398525,0.455408,-3.16807,4.54748,2.18024,50,5.62577,-0.80561,-121.10263,-1.73319,-4.71865,22.99823,-25.40086,c55337aa-884c-4e39-82be-98896e030c2d,NA,NA,NA,NA,NA,10011512,"Howard, Jon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,MOU_OLV,1,Top,2,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_WES1,MOU_OLV,SouthernWesleyan,D2,CC,20250223-SouthernWesleyan-1,d1c2b4b0-f218-11ef-9acd-1f7a1cc8d303,82.76633,NA,NA,6.68959,NA,NA,NA,d37d1fdc-c91a-422e-bc9c-a8404210b05e,2025-02-23,19:03:07,2025-02-23T19:03:07Z,2025-02-23T19:03:07Z,NA,v3,NA,NA,NA,"Pickhardt, Griffin",1000193374,Right,SOU_WES1,54.58283,-121.96984,11.49911,5.67306,-0.77539,-12.70043,2.20727,-0.62768,-2.35932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
