PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,16:06:01,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAM_BUL,1,Top,0,0,0,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,22697600-ee3c-11ef-b1f0-bb931331d602,NA,NA,NA,NA,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:06:01,2025-02-18T21:06:01Z,2025-02-18T21:06:01Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-02-18,16:06:02,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,92.47908,0.164706,-2.556832,1820.661064,228.716397,01:30:00,5.19741,1.32856,5.74977,-18.46718,14.69851,15.43709,3.81197,0.23303,83.55272,-3.33904,0.203241,0.414492,-8.56111,7.74567,-1.12529,50,5.19997,5.27494,-134.07538,-0.20707,-15.43936,31.49279,-18.20524,bae63066-5310-4d7a-a74a-84c5d1ad7859,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SAM_BUL,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,2997fe10-ee3c-11ef-b1f0-bb931331d602,90.93655,NA,NA,8.92635,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:06:02,2025-02-18T21:06:02Z,2025-02-18T21:06:02Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.74764,-135.18595,15.7464,5.19595,0.43492,-9.10262,-1.32091,5.8194,-7.71968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-18,16:06:19,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,91.04136,0.511478,-2.548949,2037.422918,239.964649,02:00:00,5.22742,1.56577,5.8724,-23.53222,10.60914,16.27473,3.74197,0.55286,82.11858,-3.916871,0.368072,0.420544,-9.02871,5.61551,-1.36846,50,5.25539,5.14403,-131.98673,0.39164,-15.73814,31.19635,-22.38552,ca17b134-2d46-4681-9a5e-690bea1a935c,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SAM_BUL,1,Top,0,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,3358c9c0-ee3c-11ef-b1f0-bb931331d602,89.62777,NA,NA,8.92278,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:06:19,2025-02-18T21:06:19Z,2025-02-18T21:06:19Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.62486,-133.07537,15.59817,5.22809,1.17281,-11.19276,-1.55756,5.69323,-7.86907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-18,16:06:33,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,91.90804,-0.313455,-2.508238,1915.750277,232.804042,01:45:00,5.23803,1.37201,5.94333,-20.99816,12.32253,14.72398,3.19715,0.27087,83.16128,-4.280082,0.134743,0.415459,-8.23024,6.74363,-1.1799,50,5.20131,5.17764,-133.29476,-1.41091,-14.67264,31.08598,-20.15171,8a6fa1d8-36be-49d1-afa6-92e6f0b1c254,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SAM_BUL,1,Top,0,3,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,3c12acc0-ee3c-11ef-b1f0-bb931331d602,90.72478,NA,NA,8.74676,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:06:33,2025-02-18T21:06:33Z,2025-02-18T21:06:33Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.55396,-134.3526,15.54299,5.23765,-0.72516,-10.07586,-1.36458,5.67695,-7.33632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-18,16:06:47,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,90.9339,-0.73239,-3.845162,1970.861558,236.539678,02:00:00,5.11493,1.52685,5.92117,-22.33482,12.04666,16.30658,2.57247,-0.68791,81.72957,-4.9529,-0.924458,0.422021,-9.52666,6.76788,-1.2275,50,5.04367,8.12024,-131.61885,-2.40936,-16.44297,32.12359,-20.49271,47171843-0283-4c2c-89e1-b9eee140754e,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,SAM_BUL,1,Top,0,3,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,445786d0-ee3c-11ef-b1f0-bb931331d602,89.31422,NA,NA,9.20433,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:06:47,2025-02-18T21:06:47Z,2025-02-18T21:06:47Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.57582,-132.73094,16.0618,5.1148,-1.69992,-10.24636,-1.51847,8.68948,-8.22149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-18,16:07:07,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,92.00567,-0.935781,-1.979283,1961.948357,242.223519,02:00:00,5.20938,1.39406,5.95525,-23.82064,9.71725,16.07127,2.3559,0.89702,82.62802,-5.422059,0.908929,0.416811,-8.78205,5.66705,-1.24505,50,5.12195,3.87449,-133.33566,-2.9806,-15.5099,33.74201,-22.16551,6378c46a-cf25-4f19-8abc-bd4213370bf4,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,SAM_BUL,1,Top,0,3,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,4fef8380-ee3c-11ef-b1f0-bb931331d602,90.43053,NA,NA,9.37765,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:07:07,2025-02-18T21:07:07Z,2025-02-18T21:07:07Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.54033,-134.47974,16.87101,5.21027,-2.22905,-11.08275,-1.38533,4.40038,-7.75495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.07873,2.598123,1.707571,0.890552,-1.85264,2.03638,-0.95397,0.88585,5.40559,-4.81338,72.58609,7.77736,-52.22603,0.90538,84.59811,-4.61055,5.4353,15.58853,-14.54743,-4.87098,-60.20093,7.88325,High,High,High,NA,NA,High,High,High
7,2025-02-18,16:07:38,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,Slider,NA,NA,78.6449,1.620026,-3.026461,2458.764598,81.570838,08:45:00,4.96276,1.53014,5.46239,-46.47605,0.16193,-9.81764,2.60862,-2.1234,71.29396,-6.896321,-4.769196,0.49152,3.95386,0.07504,-1.25656,50,5.0742,6.41237,-113.84893,1.65948,5.1165,23.64267,-32.07692,92e432f2-453b-4227-bba6-dee6eec3746d,NA,NA,NA,NA,NA,10109870,"Gandy, Gus",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAM_BUL,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,629f9a10-ee3c-11ef-b1f0-bb931331d602,76.68544,NA,NA,7.35094,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:07:38,2025-02-18T21:07:38Z,2025-02-18T21:07:38Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,55.03594,-114.88997,11.82134,4.97004,3.0719,-16.03846,-1.53395,6.18708,2.55825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-18,16:07:52,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,92.07732,-0.646759,-2.203225,1795.433011,228.983419,01:45:00,5.26579,1.17973,5.85144,-19.70501,13.74737,14.42599,3.02226,0.33363,82.97544,-4.383348,0.382581,0.416279,-8.10926,7.58201,-1.00925,50,5.20187,4.50406,-133.51861,-2.14295,-14.42343,32.69396,-18.68842,01797f0c-0815-45ab-be6d-f6aac3f1d10f,NA,NA,NA,NA,-25.315516,10109870,"Gandy, Gus",NA,NA,85.60469,Left,73.930442,NA,NA,NA,NA,52.57638,NA,NA,1.71813,3.11915,-0.48131,NA,NA,NA,NA,NA,2,2,SAM_BUL,1,Top,1,1,0,Sinker,InPlay,Undefined,Popup,Out,1,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,6ae18df0-ee3c-11ef-b1f0-bb931331d602,90.54601,111.60141,NA,9.10187,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:07:52,2025-02-18T21:07:52Z,2025-02-18T21:07:52Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.64768,-134.65186,16.34698,5.26492,-1.49517,-9.34421,-1.17404,5.004,-7.21172,NA,1.71815,31.41203,-17.02822,5.35454,-0.3694,-0.70416,0.37556,-0.03963,-0.01293,3.11914,120.64858,-29.91144,3.79489,-0.95396,0.49257,-0.25509,0.07295,-0.00778,-0.48131,-14.86006,4.26591,-1.18792,0.10857,0.10545,-0.05464,0.00252,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
9,2025-02-18,16:08:26,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,Slider,NA,NA,78.95655,1.932213,1.149595,2639.82842,76.28029,08:30:00,4.85845,1.84545,5.62235,-48.29034,-2.31087,-16.20713,2.63846,1.56781,71.29251,-6.956843,-1.745971,0.488038,8.50808,-1.24799,-1.93314,50,4.99279,-1.64665,-114.44688,2.24089,11.09839,24.37052,-33.80197,bfd8f842-f876-4977-a89e-95b8e5b39d68,NA,NA,NA,NA,NA,10151180,"Souders, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SAM_BUL,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,7f62bb00-ee3c-11ef-b1f0-bb931331d602,77.23262,NA,NA,7.66403,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:08:26,2025-02-18T21:08:26Z,2025-02-18T21:08:26Z,NA,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.87654,-115.48063,12.18526,4.86733,3.6747,-16.90099,-1.85331,-2.11742,5.54919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-18,16:08:37,"Pipes, Alex",813879,Right,JAC_GAM,Undefined,FourSeamFastBall,NA,NA,92.28747,-0.594834,-2.945429,2071.459587,241.124966,02:00:00,5.14241,1.21721,6.22197,-22.35887,10.48918,16.89044,2.72955,-0.09552,83.22085,-4.829723,0.101723,0.412502,-9.73158,5.96339,-1.00502,50,5.08678,6.18002,-133.85486,-2.09856,-17.39575,32.86609,-21.51418,8a703f53-95e1-4aca-8cc1-f5e7f4cb2761,NA,NA,NA,NA,30.636291,10151180,"Souders, Jake",5345.244318,NA,92.01094,Right,44.353316,86.78719,101.04586,67.58675,277.56634,126.65175,5.687961,46.00973,0.41519,3.26178,-0.36632,NA,NA,NA,NA,NA,3,2,SAM_BUL,1,Top,2,1,0,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,85e48850-ee3c-11ef-b1f0-bb931331d602,91.37512,119.10333,NA,9.06662,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:08:37,2025-02-18T21:08:37Z,2025-02-18T21:08:37Z,FlyBall,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Ashe, Grayson",10062829,Right,JAC_GAM,54.27781,-134.90112,16.43305,5.14269,-1.41368,-10.75709,-1.21057,6.7338,-8.69788,NA,0.42675,82.78854,-25.65946,6.40947,-0.68319,-0.15496,0.06704,-0.00896,4.3e-4,3.24984,94.54147,-22.97319,2.17082,-0.46407,0.08771,-0.00539,-7.2e-4,8e-5,-0.36775,49.19758,-4.03681,0.16661,0.1064,-0.03427,0.00551,-5e-4,2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
11,2025-02-18,16:11:25,"Rice, Brooks",1000092936,Right,SAM_BUL,Undefined,Fastball,NA,NA,90.95012,-2.17763,-3.387665,2418.204568,225.630472,01:30:00,5.76908,2.0048,6.04838,-17.95308,16.43702,15.43784,2.25251,0.15142,81.41216,-5.625954,-0.613783,0.422074,-9.10158,9.58107,-1.74902,50,5.58973,7.12591,-131.60046,-5.5289,-15.60735,33.70315,-15.7445,e51f64fa-2b3f-43cb-bf22-6e24035dfd5e,NA,NA,NA,NA,-4.057736,1000299295,"Collins, Drew",2420.061209,NA,100.66313,Right,23.026089,109.09442,42.76597,-14.08527,363.63072,362.9121,4.299688,-13.714413,1.10038,2.22259,-0.14513,NA,NA,NA,NA,NA,1,1,JAC_GAM,1,Bottom,0,0,0,Sinker,InPlay,Undefined,LineDrive,Triple,0,0,NA,JAC_GAM,SAM_BUL,RudyAbbottField,D1,CUSA,20250218-RudyAbbottField-1,e9e71a20-ee3c-11ef-b1f0-bb931331d602,89.30301,58.57013,NA,9.53796,NA,NA,NA,f704a282-43ae-4cfc-b5f3-c0d795a2cef7,2025-02-18,21:11:25,2025-02-18T21:11:25Z,2025-02-18T21:11:25Z,LineDrive,v3,471325,471431,18 February 2025 19:00-samford@jksonvilst,"Perry, Hayden",1000193742,Right,SAM_BUL,54.44914,-132.735,16.85158,5.76693,-4.99889,-7.87225,-1.99775,7.6513,-7.80367,138.958743,1.09988,135.551,-25.68706,6.20507,-1.49912,0.37358,-0.08339,0.01209,-7.4e-4,2.22392,57.7136,-15.24417,-0.39157,0.70493,-0.33265,0.09186,-0.01311,7.4e-4,-0.14507,-9.61707,-8.23821,3.45454,-1.04746,0.2463,-0.04319,0.00474,-2.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
