PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,14:05:34,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,Sinker,NA,NA,88.79845,-2.139147,5.301774,2043.503079,119.039524,10:00:00,5.46322,-3.78964,5.99999,-23.75513,11.98284,-19.37099,1.4921,-0.47731,80.72271,-6.594374,1.835665,0.430265,11.53434,7.14827,3.38222,50,5.28119,-11.11353,-128.39182,-5.56959,19.14714,27.95257,-20.30784,433e9df6-eed6-444c-8a45-df33bb0fd6a3,NA,NA,NA,NA,NA,1000158770,"Mims, Max",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARL_MAV,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,8b40b150-f221-11ef-9642-f1e9a5287cf9,87.60279,NA,NA,8.07574,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:05:34,2025-02-23T20:05:34Z,2025-02-23T20:05:34Z,NA,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,54.49859,-129.36751,13.97628,5.46323,-4.86074,-10.15392,3.78181,-11.78187,9.57357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,14:05:50,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,ChangeUp,NA,NA,79.68696,1.270054,5.186865,1915.406384,92.747196,09:00:00,5.25828,-3.87145,5.75185,-42.14742,2.50043,-21.25308,2.93336,-0.8008,72.56314,-6.493904,1.401093,0.480919,12.22501,1.38732,3.45275,50,5.33863,-9.62879,-115.28186,1.19519,16.40232,22.03153,-30.31265,978d4be2-f5f7-4709-bbc2-716d7b5a909e,NA,NA,NA,NA,NA,1000158770,"Mims, Max",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ARL_MAV,1,Top,0,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,949a56c0-f221-11ef-9642-f1e9a5287cf9,78.37589,NA,NA,7.12382,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:05:50,2025-02-23T20:05:50Z,2025-02-23T20:05:50Z,NA,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,54.74699,-116.18551,11.01576,5.26411,2.43851,-15.15633,3.86148,-10.30155,8.20116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,14:06:05,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,ChangeUp,NA,NA,80.00786,-1.484477,4.848425,2010.3076,91.023883,09:00:00,5.29215,-3.94665,5.81642,-42.46447,1.88032,-19.78214,0.36794,-1.07638,73.04706,-9.281562,1.309939,0.479284,11.65662,1.80382,3.56112,50,5.1448,-9.07916,-115.77916,-4.36753,15.6852,23.3669,-29.74681,90e54409-d148-4f2f-8140-0965a8b67526,NA,NA,NA,NA,NA,1000158770,"Mims, Max",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ARL_MAV,1,Top,0,0,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,9dbc4a60-f221-11ef-9642-f1e9a5287cf9,78.64329,NA,NA,6.9608,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:06:05,2025-02-23T20:06:05Z,2025-02-23T20:06:05Z,NA,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,54.68366,-116.7206,11.68345,5.29662,-3.16905,-14.8734,3.93965,-9.71112,7.8426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,14:06:33,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,Sinker,NA,NA,89.30586,-1.218628,5.820651,2051.81819,135.029676,10:30:00,5.4988,-3.97399,5.86657,-18.96777,16.48257,-15.28225,2.78011,0.17802,81.20394,-4.808638,3.100472,0.42853,9.4306,9.1113,3.50987,50,5.38861,-12.49786,-129.04367,-3.33199,15.87293,27.31152,-16.83853,e2fac6a9-4881-4e9f-8875-52bdd3d6c71b,NA,NA,NA,NA,NA,10086289,"Dodson, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARL_MAV,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,ae3fbcf0-f221-11ef-9642-f1e9a5287cf9,87.95744,NA,NA,8.10192,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:06:33,2025-02-23T20:06:33Z,2025-02-23T20:06:33Z,NA,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,54.63056,-130.02001,13.65576,5.49696,-2.73005,-8.41927,3.96679,-13.0653,7.93647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,14:06:50,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,Slider,NA,NA,77.80316,0.742357,3.800744,2253.459757,308.931005,04:15:00,5.13303,-4.13817,5.55472,-54.2044,-7.17678,10.68264,1.31118,0.3085,71.67439,-9.090736,5.700492,0.493569,-4.3224,-3.45114,3.80197,50,5.16129,-7.896,-112.78439,-0.34054,-5.54283,21.36495,-36.59959,42522599-d086-4dd1-a065-b4d1a52eedfd,NA,NA,NA,NA,NA,10086289,"Dodson, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ARL_MAV,1,Top,1,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,b8a35850-f221-11ef-9642-f1e9a5287cf9,76.36709,NA,NA,6.12878,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:06:50,2025-02-23T20:06:50Z,2025-02-23T20:06:50Z,NA,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,54.94611,-113.71748,10.68248,5.14125,1.25791,-18.29979,4.14153,-7.65393,-2.77142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,14:07:08,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,Slider,NA,NA,78.11288,1.823703,3.492091,2184.502728,294.268559,03:45:00,5.23496,-4.13461,5.31868,-53.71904,-6.21748,17.30225,2.47363,0.58854,71.20191,-7.926379,6.551412,0.49605,-7.65315,-3.35091,3.80477,50,5.36118,-7.57161,-113.08729,1.77201,-9.77269,23.30461,-36.453,475a1b26-66ab-441e-8687-a5efb67b4816,NA,NA,NA,NA,0.022037,10086289,"Dodson, Cade",NA,NA,78.70648,Right,43.681568,109.71422,84.73382,-7.92394,279.05379,276.03072,5.050436,-8.364066,2.3546,2.5429,-0.46378,NA,NA,NA,NA,NA,2,3,ARL_MAV,1,Top,1,0,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,c32eee10-f221-11ef-9642-f1e9a5287cf9,75.98518,93.64481,NA,6.91097,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:07:08,2025-02-23T20:07:08Z,2025-02-23T20:07:08Z,FlyBall,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,55.18198,-114.15018,11.65231,5.24245,3.43457,-18.2265,4.13994,-7.1259,-4.88635,161.595125,2.35689,83.42519,-16.30892,4.30566,-0.63123,-0.00885,0.02238,-0.00346,1.7e-4,2.5414,79.75326,-19.70923,1.13844,0.00167,-0.08562,0.03388,-0.00571,3.5e-4,-0.46304,0.01451,-4.02087,0.92013,-0.09065,-0.01995,0.00821,-0.00104,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-02-23,14:07:38,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,Sinker,NA,NA,88.08507,-0.5406,5.132936,2098.611234,109.005135,09:45:00,5.33409,-3.83018,5.96096,-27.94998,8.55237,-21.048,2.50161,-0.81184,79.56584,-5.767944,1.367859,0.434842,12.33205,4.93937,3.43344,50,5.2756,-10.55296,-127.39463,-2.12686,20.04521,28.83815,-24.14535,42c7093f-e73e-40f0-bf0f-88e71a66a5dd,NA,NA,NA,NA,NA,1000124771,"Martinez, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARL_MAV,1,Top,2,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,d4e8bdc0-f221-11ef-9642-f1e9a5287cf9,86.68071,NA,NA,8.51923,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:07:38,2025-02-23T20:07:38Z,2025-02-23T20:07:38Z,NA,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,54.53638,-128.41742,14.41908,5.33584,-1.27051,-12.07267,3.82032,-11.26389,10.02261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,14:07:53,"Bodendorf, Harrison",823746,Left,OKL_COW,Undefined,Slider,NA,NA,78.64065,0.864782,3.119847,2314.512181,302.339883,04:00:00,5.0714,-4.39044,5.13521,-55.31408,-7.99843,15.23135,1.27751,-0.18038,71.55338,-9.127958,5.810492,0.495078,-6.58851,-3.84032,4.08531,50,5.10966,-6.82193,-113.84396,-0.25268,-8.4929,24.36563,-37.1244,7f56d7bc-b711-4a86-a6c3-9acc0874030b,NA,NA,NA,NA,-35.494389,1000124771,"Martinez, Jake",NA,NA,84.63453,Right,-2.902888,NA,NA,NA,29.07962,29.07962,0.221314,-32.647974,2.13236,1.39217,0.25298,NA,NA,NA,NA,NA,3,2,ARL_MAV,1,Top,2,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,ddbe3f10-f221-11ef-9642-f1e9a5287cf9,76.1343,1.39217,NA,7.08727,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:07:53,2025-02-23T20:07:53Z,2025-02-23T20:07:53Z,GroundBall,v3,4245,471465,NA,"Daugherty, Ian",695527,Right,OKL_COW,55.36436,-114.98635,12.18282,5.0807,1.4879,-18.5622,4.39582,-6.42374,-4.24645,NA,2.13,101.00002,NA,NA,NA,NA,NA,NA,NA,1.39232,-6.29049,NA,NA,NA,NA,NA,NA,NA,0.25466,-72.02769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
9,2025-02-23,14:10:42,"Dygert, Caylon",1000257737,Right,ARL_MAV,Undefined,Fastball,NA,NA,90.37151,-2.363632,-2.719005,2252.413877,225.599941,01:30:00,5.70221,1.56247,6.14364,-19.16765,15.26517,14.30398,1.91704,0.24002,81.53633,-6.018245,-0.141417,0.422335,-8.23351,9.00406,-1.36235,50,5.5121,5.6127,-130.92996,-5.96871,-14.07962,31.48276,-16.77677,11adfee8-9061-4e50-a18c-c24117d05127,NA,NA,NA,NA,NA,829670,"Smith, Brayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OKL_COW,1,Bottom,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,42cdfb20-f222-11ef-9642-f1e9a5287cf9,89.24765,NA,NA,8.83518,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:10:42,2025-02-23T20:10:42Z,2025-02-23T20:10:42Z,NA,v3,4245,471465,NA,"Airhart, Parker",822849,Right,ARL_MAV,54.35204,-131.97228,15.74138,5.70052,-5.41327,-8.38838,-1.55589,6.07885,-7.03981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,14:10:59,"Dygert, Caylon",1000257737,Right,ARL_MAV,Undefined,ChangeUp,NA,NA,81.30987,-1.759896,-4.365715,1771.285824,239.950668,02:00:00,5.22425,1.90843,6.25335,-29.93246,12.60024,19.03403,1.10174,-0.53909,73.36906,-7.403171,-0.935117,0.469389,-11.28316,7.5713800000000004,-1.59269,50,5.07869,8.27175,-117.66008,-4.46488,-15.55096,25.83153,-21.73879,d8ff7ce9-75bf-498b-94e0-b37fb1fe58d3,NA,NA,NA,NA,NA,829670,"Smith, Brayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,OKL_COW,1,Bottom,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OKL_COW,ARL_MAV,OKState,D1,BIG12,20250223-OKState-1,4cc2cf20-f222-11ef-9642-f1e9a5287cf9,80.30105,NA,NA,7.94081,NA,NA,NA,36a3cf63-830c-4463-a51b-1aae703c5235,2025-02-23,20:10:59,2025-02-23T20:10:59Z,2025-02-23T20:10:59Z,NA,v3,4245,471465,NA,"Airhart, Parker",822849,Right,ARL_MAV,54.24305,-118.58796,12.91576,5.22504,-3.68401,-10.86939,-1.89985,8.83034,-7.77548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
