PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,14:05:00,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Fastball,NA,NA,86.96242,-0.879043,-1.853231,1694.126437,225.76959,01:30:00,6.07291,1.37297,5.86849,-29.01639,7.83595,6.89563,2.83784,0.22554,79.9179,-6.255045,-0.615812,0.436922,-4.06492,4.57024,-1.22706,50,5.9847,3.81208,-126.34541,-2.90646,-6.58764,25.11874,-24.76746,6f73c4b8-0eb1-4300-8c3f-803e9acd6196,NA,NA,NA,NA,NA,811781,"Gates, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GEO_COL,1,Top,0,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,e6d9ace0-ebe8-11ef-8cc0-872e5af74819,86.26811,NA,NA,7.04452,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:05:00,2025-02-15T22:05:00Z,2025-02-15T22:05:00Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.63222,-127.26301,12.55937,6.07435,-2.0017,-12.38373,-1.37071,4.05273,-3.29382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,14:05:13,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,ChangeUp,NA,NA,78.59787,0.86027,-0.904967,937.277513,281.738603,03:30:00,6.03535,1.40501,5.88041,-45.06991,-0.28874,7.44729,3.07861,1.18512,72.83748,-7.413261,0.432892,0.481636,-4.04414,0.02941,-1.33625,50,6.07863,1.53149,-114.32239,0.28786,-5.4014,19.26014,-32.13475,3c4fc159-df4c-4ffc-9558-29fed9999832,NA,NA,NA,NA,NA,811781,"Gates, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GEO_COL,1,Top,0,0,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,ee990340-ebe8-11ef-8cc0-872e5af74819,78.25916,NA,NA,5.76039,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:05:13,2025-02-15T22:05:13Z,2025-02-15T22:05:13Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.62095,-115.09826,9.63007,6.04096,1.58236,-16.06737,-1.40233,1.74907,-2.7007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,14:05:28,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,ChangeUp,NA,NA,78.60647,-1.293115,-1.949827,961.368866,293.021091,03:45:00,5.96851,1.43203,6.04405,-47.84365,-2.8741,10.04733,0.78343,0.4634,72.61432,-10.061044,-0.135942,0.482648,-5.75977,-0.73307,-1.28555,50,5.84181,3.5302,-114.21312,-4.05932,-7.59472,21.38079,-33.14067,9fa54304-b4c1-451e-b801-14e9853b50f5,NA,NA,NA,NA,NA,811781,"Gates, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,GEO_COL,1,Top,0,1,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,f7b41910-ebe8-11ef-8cc0-872e5af74819,78.09506,NA,NA,5.99215,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:05:28,2025-02-15T22:05:28Z,2025-02-15T22:05:28Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.45764,-115.04457,10.6904,5.97461,-2.77056,-16.57034,-1.42858,3.82554,-3.79736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-15,14:05:48,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Slider,NA,NA,79.57864,0.771053,-1.049982,2152.394328,39.712062,07:15:00,5.97805,1.31162,5.13055,-47.79888,-3.08425,-3.54256,2.72114,0.02744,74.18237,-7.849343,-1.67763,0.481278,1.52421,-1.3676,-1.2102,50,6.01289,2.26382,-115.70514,-0.16637,2.09756,18.52917,-34.05607,af85e486-644d-4af4-88ea-bfd6cfc5ebc4,NA,NA,NA,NA,NA,811781,"Gates, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,GEO_COL,1,Top,0,2,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,03d43180-ebe9-11ef-8cc0-872e5af74819,78.31734,NA,NA,5.39627,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:05:48,2025-02-15T22:05:48Z,2025-02-15T22:05:48Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.37189,-116.56222,9.26458,5.98415,1.40893,-17.02804,-1.31267,2.1668,1.04878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-15,14:06:05,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Slider,NA,NA,79.74834,0.082451,-2.027857,2154.405994,17.447146,06:30:00,5.95756,1.21588,5.45765,-47.17506,-3.15603,-1.35693,2.10353,-0.79621,74.45264,-8.461192,-2.269659,0.47752,0.20764,-1.27122,-1.03612,50,5.93199,4.15843,-115.9582,-1.46007,0.28683,18.71881,-33.93017,9246035c-dec9-4644-be24-c9ca1e2690a1,NA,NA,NA,NA,NA,811781,"Gates, Sam",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,GEO_COL,1,Top,0,2,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,0df804c0-ebe9-11ef-8cc0-872e5af74819,78.93373,NA,NA,5.2957,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:06:05,2025-02-15T22:06:05Z,2025-02-15T22:06:05Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.04492,-116.76975,9.3594,5.96341,0.01096,-16.96509,-1.21614,4.14599,0.14342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.38951,2.668906,1.792563,0.876343,-0.56097,1.8032,0.87474,1.87706,5.61602,-2.14699,78.06405,7.70837,-46.75886,1.91638,92.62634,-6.54984,5.61993,12.44022,-11.47679,-2.20076,-57.42718,7.51996,High,High,High,NA,NA,High,High,High
6,2025-02-15,14:06:38,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Fastball,NA,NA,88.88219,-2.910119,-3.172263,2077.546519,211.37416,01:00:00,6.00605,1.18064,6.45745,-17.27887,17.14568,9.83611,1.88646,-0.91676,82.05369,-6.193687,-1.391132,0.422285,-5.94307,10.02556,-0.96029,50,5.79183,6.77225,-129.01538,-7.02889,-10.1114,24.46919,-15.11674,ee6ea6b4-a59c-4164-81bf-52e81db04d3d,NA,NA,NA,NA,NA,1000298947,"Tufano, Cristino",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,GEO_COL,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,"frame
",SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,215c2910-ebe9-11ef-8cc0-872e5af74819,89.25829,NA,NA,6.8285,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:06:38,2025-02-15T22:06:38Z,2025-02-15T22:06:38Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.04254,-129.77983,12.2346,6.00404,-6.55662,-7.55837,-1.1768,7.08814,-5.0557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,14:06:54,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Sinker,NA,NA,87.94549,-1.026967,-0.514657,1823.359359,231.184458,01:45:00,6.0378,1.19454,5.93807,-23.34202,12.57701,14.27162,3.13979,1.90639,80.74424,-5.392265,2.050209,0.431354,-7.54894,7.07244,-1.16192,50,5.94269,0.57865,-127.85057,-3.03538,-12.51799,25.90093,-20.44617,ce288b5a-53e1-405a-961f-bab822ad678b,NA,NA,NA,NA,NA,1000298947,"Tufano, Cristino",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,GEO_COL,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,2ab02930-ebe9-11ef-8cc0-872e5af74819,87.3817,NA,NA,7.20125,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:06:54,2025-02-15T22:06:54Z,2025-02-15T22:06:54Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.56315,-128.77169,12.95046,6.03771,-2.30825,-10.22308,-1.19041,1.02383,-6.25899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-15,14:07:09,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Slider,NA,NA,80.99888,-0.266875,-2.477925,2307.712818,35.805062,07:15:00,6.02511,1.28216,5.30664,-44.17128,-1.00532,-1.60063,2.09342,-1.17871,75.20527,-8.261458,-2.762132,0.47287,0.18224,-0.06575,-1.05591,50,5.96852,5.15543,-117.63287,-2.12231,0.25779,20.32956,-32.26704,087a32b6-0856-4f17-933e-83d87ae01b56,NA,NA,NA,NA,NA,1000298947,"Tufano, Cristino",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,GEO_COL,1,Top,1,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,frame,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,33cf84c0-ebe9-11ef-8cc0-872e5af74819,79.70987,NA,NA,5.79361,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:07:09,2025-02-15T22:07:09Z,2025-02-15T22:07:09Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,55.19454,-118.52721,10.16478,6.03067,-0.70283,-16.13352,-1.28246,5.14409,0.12889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-15,14:07:25,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Slider,NA,NA,80.19497,-0.715148,-3.066981,2272.906001,23.789211,06:45:00,5.93717,1.05378,6.54308,-44.42278,-2.50567,-1.59929,1.57842,-1.89499,74.86514,-8.911427,-3.357528,0.46598,0.09146,-0.8111,-0.84074,50,5.86869,6.30359,-116.65231,-2.7408,0.12748,19.59121,-33.30447,59bcb77d-d19e-4aa5-9502-31e997175550,NA,NA,NA,NA,NA,1000298947,"Tufano, Cristino",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,GEO_COL,1,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,3d44a170-ebe9-11ef-8cc0-872e5af74819,80.88856,NA,NA,5.32984,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:07:25,2025-02-15T22:07:25Z,2025-02-15T22:07:25Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,53.95947,-117.3154,9.7956,5.94238,-1.61357,-16.65223,-1.05402,6.29928,0.06374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-15,14:07:41,"Aoki, Caden",802610,Right,SOU_TRO,Undefined,Fastball,NA,NA,88.0643,-1.298687,-3.465488,2059.700715,211.54517,01:00:00,6.01622,0.99089,6.14526,-18.14403,17.35028,10.0052,3.30174,-1.3816,81.03427,-4.738713,-1.665822,0.428796,-6.0452,9.62414,-0.73173,50,5.90758,7.3393,-127.83878,-3.4159,-10.08616,24.32836,-16.11657,6d1db8f8-5bad-4d74-94ef-d558823143ec,NA,NA,NA,NA,NA,1000298947,"Tufano, Cristino",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,GEO_COL,1,Top,1,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,GEO_COL,OrangeCountyGreatParkStadium,D1,BIG10,20250215-OrangeCountyGreatParkStadium-1,46f98640-ebe9-11ef-8cc0-872e5af74819,87.90298,NA,NA,7.03003,NA,NA,NA,ea56a7c2-8bb0-44b3-8c3d-d4d497b792db,2025-02-15,22:07:41,2025-02-15T22:07:41Z,2025-02-15T22:07:41Z,NA,v3,5047,471301,NA,"Tejada III, Richard",1000369801,Right,SOU_TRO,54.35408,-128.66471,12.16418,6.01426,-2.86875,-8.05829,-0.9867,7.68172,-5.04308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
